V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,class
,3.1869,,0.0,0.0,0.0,0.0,34.6,1.0,,0.0,,,3.284,,2.0,0.977,1.136,0.0,,0.0,,0.0,0.0,0.0,0.0,1.993,,0.0,10.319,8.066,0.0,0.0,,1.0,3.33,2.133,0.0,8.337,,0.0,2
4.523,4.0241,0.0,0.0,0.0,0.0,0.0,31.6,,,0.0,-0.913,,,,6.0,,1.142,,0.0,0.0,1.121,0.0,,,0.0,,0.048,0.0,,,0.0,,0.0,0.0,,,0.0,,0.0,,2
,3.5408,0.0,0.0,0.0,,0.0,,,4.0,,,4.103,3.664,,,0.982,,,0.0,0.0,1.181,0.0,0.0,,0.0,,,0.0,23.157,9.847,,0.0,0.0,0.0,,2.083,,8.622,,0.0,2
,,,,0.0,0.0,0.0,,6.0,,0.0,,,,,,0.989,1.14,0.0,0.0,,1.178,0.0,,0.0,,,0.0,0.0,,4.685,,0.0,0.0,0.0,,2.268,,,0.0,0.0,2
4.476,3.7418,,0.0,0.0,0.0,0.0,,3.0,,0.0,,2.917,,,,0.998,1.146,,,,,,,,0.0,2.042,,0.0,,2.34,0.0,0.0,,0.0,3.389,2.625,,,,0.0,2
4.235,3.3919,0.0,,,0.0,0.0,28.6,,3.0,,,,1.975,9.118,1.0,1.014,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,10.129,,0.0,0.0,0.0,,3.35,2.685,0.0,7.677,0.0,0.0,2
4.38,,,,0.0,,0.0,30.8,1.0,4.0,,,3.345,2.252,9.625,,1.019,,0.0,0.0,0.0,1.138,,,0.0,0.0,,,,20.772,4.178,0.0,,0.0,1.0,,,0.0,8.09,,0.0,2
,3.4435,0.0,0.0,,,,33.9,2.0,4.0,0.0,-0.268,,4.437,10.757,8.0,,1.137,0.0,0.0,0.0,1.208,,,,0.0,,0.0,0.0,23.892,,,,0.0,,3.395,,0.0,,0.0,,2
4.243,3.0402,,,0.0,0.0,,31.3,,,,,,2.522,,,,1.143,0.0,,,,,,,,2.0,-0.002,,,5.475,,,,,3.337,2.952,,8.169,0.0,0.0,2
4.237,3.0152,,0.0,0.0,0.0,0.0,31.8,,4.0,0.0,-1.396,,2.948,9.917,4.0,0.995,1.142,0.0,0.0,0.0,1.158,0.0,0.0,,0.0,,0.0,0.0,20.53,7.174,0.0,0.0,0.0,,,,0.0,,,,2
4.412,3.7308,0.0,,,,,30.6,2.0,8.0,0.0,-0.554,,3.774,,8.0,,1.144,0.0,,0.0,,0.0,,0.0,,,,,23.21,,,0.0,0.0,0.0,3.397,,0.0,8.752,0.0,0.0,2
4.544,,0.0,,0.0,,,30.4,2.0,4.0,,-1.072,,2.187,9.59,,1.027,1.145,,,,1.142,,0.0,0.0,,2.101,0.015,,21.21,3.207,,0.0,0.0,,3.486,2.985,,8.051,,0.0,2
4.399,3.455,1.0,0.0,0.0,0.0,,32.3,2.0,4.0,,,,4.044,,8.0,0.979,,,0.0,0.0,1.202,,0.0,0.0,0.0,,0.0,0.0,23.602,12.745,,0.0,0.0,,3.645,1.976,0.0,9.017,0.0,0.0,2
,4.2802,,0.0,0.0,0.0,0.0,30.0,2.0,4.0,0.0,-1.853,,1.922,9.565,,,1.146,,0.0,0.0,1.13,,,0.0,,2.127,,0.0,,,0.0,0.0,0.0,,3.586,,0.0,,0.0,0.0,2
4.67,,,0.0,0.0,,,,3.0,2.0,0.0,0.218,3.447,2.21,9.961,7.0,0.983,1.139,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,3.769,,0.0,0.0,,3.53,2.262,0.0,,0.0,0.0,2
,3.7043,0.0,,0.0,,0.0,33.3,,2.0,0.0,0.185,3.146,1.922,,,0.993,,,0.0,0.0,1.197,0.0,,0.0,,2.089,,,,3.237,,,0.0,,3.525,2.533,0.0,,,0.0,2
4.644,3.122,0.0,0.0,,0.0,0.0,,,2.0,,,3.939,,,6.0,,1.138,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,11.181,9.52,0.0,0.0,0.0,0.0,,,0.0,8.459,0.0,0.0,2
,3.9399,0.0,0.0,0.0,0.0,0.0,33.3,0.0,4.0,0.0,-2.514,3.047,1.5,,4.0,1.09,,0.0,,,1.108,,,0.0,,,-0.097,0.0,,2.682,0.0,0.0,,2.0,3.519,4.167,,8.016,0.0,,2
4.17,3.2723,0.0,0.0,,,0.0,22.2,,,0.0,-1.19,2.555,0.971,8.597,0.0,1.083,1.162,0.0,,0.0,1.018,0.0,0.0,,,1.848,,0.0,,1.542,,0.0,0.0,2.0,3.333,4.433,0.0,7.299,,0.0,2
4.588,4.0275,,0.0,0.0,,0.0,32.0,3.0,,0.0,-0.579,,1.859,9.768,5.0,,,,0.0,,1.174,,,0.0,0.0,2.12,,0.0,21.203,3.114,,0.0,0.0,0.0,,,,8.066,0.0,0.0,2
,,,,0.0,0.0,0.0,,,0.0,2.0,0.56,2.559,0.971,8.597,0.0,0.987,1.133,,,,,0.0,0.0,0.0,0.0,1.848,0.401,,,,0.0,0.0,1.0,0.0,,3.033,,,0.0,,2
5.098,3.8431,,0.0,,,0.0,,0.0,3.0,,0.0,,,9.872,3.0,1.041,1.159,0.0,0.0,,,0.0,0.0,0.0,0.0,2.112,,0.0,,2.472,0.0,0.0,,2.0,,3.552,,9.315,0.0,0.0,2
,3.5181,,0.0,,0.0,0.0,27.3,,,0.0,,,1.459,,1.0,1.057,1.146,,,0.0,1.174,,0.0,,0.0,1.902,-0.263,0.0,9.587,,0.0,,0.0,,,,,8.172,,1.0,2
5.098,3.1338,,,,,0.0,27.3,,,0.0,,,2.911,10.229,,0.992,1.145,0.0,0.0,0.0,1.168,0.0,,,0.0,2.121,0.0,,10.364,,0.0,0.0,,2.0,4.45,,0.0,9.153,,0.0,2
,3.4629,0.0,,0.0,0.0,,38.5,2.0,0.0,,,3.129,,,0.0,,1.128,,0.0,,,,0.0,0.0,0.0,2.031,-0.023,0.0,0.0,,0.0,,,,3.363,2.033,,,0.0,0.0,2
,2.2197,0.0,0.0,0.0,0.0,0.0,,,,,0.0,2.507,,8.723,1.0,,,0.0,,0.0,,1.0,0.0,,0.0,2.214,-0.228,0.0,0.0,1.542,0.0,0.0,0.0,1.0,3.325,,,7.303,,0.0,2
3.802,2.8425,,,,0.0,,31.6,,,,0.0,,,,,,,0.0,,0.0,1.169,,,0.0,0.0,1.848,0.129,0.0,,2.885,,0.0,,1.0,3.104,,0.0,7.119,,,2
4.235,,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,,1.975,,,0.989,1.15,,0.0,,1.137,0.0,0.0,,,1.962,0.043,0.0,0.0,,0.0,0.0,0.0,1.0,,2.315,0.0,7.316,0.0,0.0,2
4.752,,,,,0.0,0.0,,4.0,6.0,0.0,-0.307,,3.022,10.465,10.0,1.0,,0.0,0.0,0.0,1.149,0.0,,0.0,0.0,2.161,0.0,0.0,23.23,8.486,0.0,0.0,0.0,0.0,3.451,2.375,0.0,8.618,,0.0,2
,4.7233,0.0,,0.0,,0.0,,2.0,4.0,0.0,,,1.79,9.768,6.0,1.035,1.139,,0.0,,,0.0,0.0,,,,0.016,0.0,20.666,,0.0,,0.0,,3.493,,0.0,,0.0,0.0,2
,4.1592,1.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,-0.713,,0.918,9.184,0.0,1.082,1.175,,0.0,0.0,,0.0,,0.0,,,-0.274,0.0,,1.521,0.0,,,4.0,4.307,,2.0,8.83,0.0,,2
,2.8938,,0.0,,0.0,2.0,,3.0,0.0,0.0,0.0,3.164,1.185,9.882,0.0,0.966,1.121,0.0,0.0,,,,,0.0,,,,,0.0,,,0.0,,,3.646,1.867,,8.083,0.0,,2
,2.6422,0.0,0.0,,,,40.0,,,1.0,0.0,,1.409,9.391,0.0,0.976,,,0.0,0.0,,,0.0,,0.0,,-0.024,,,,0.0,,1.0,2.0,,,,7.884,0.0,,2
,,,,0.0,,1.0,46.2,,1.0,,0.0,2.884,0.802,,,,,0.0,,,1.264,1.0,0.0,,,,,0.0,0.0,0.975,0.0,1.0,0.0,1.0,,,,7.811,0.0,0.0,2
,,,,0.0,0.0,,42.9,0.0,,0.0,0.0,3.025,0.875,,4.0,1.022,,,,,1.219,1.0,,,0.0,,,0.0,0.0,0.854,0.0,,,2.0,,,0.0,8.008,0.0,,2
4.607,,0.0,,0.0,,,,0.0,2.0,0.0,0.0,3.118,,,4.0,1.011,1.122,,,0.0,,,,,0.0,,-0.026,0.0,,,0.0,,0.0,1.0,3.649,,,,0.0,0.0,2
4.898,,0.0,,,0.0,3.0,,0.0,2.0,,0.0,,1.546,10.067,4.0,0.994,1.123,0.0,,,,1.0,,,,2.305,,0.0,0.0,2.0,0.0,2.0,0.0,,3.729,,0.0,,0.0,,2
,3.567,3.0,0.0,,,,,,1.0,0.0,,3.66,,,,,1.099,0.0,0.0,,,1.0,0.0,1.0,0.0,2.307,,,,0.962,0.0,4.0,0.0,1.0,,2.9,0.0,9.154,0.0,3.0,2
,2.9304,0.0,,0.0,0.0,,43.5,2.0,1.0,0.0,,,1.273,9.947,,,1.117,0.0,0.0,0.0,,,,0.0,,,,0.0,,,0.0,0.0,0.0,,3.671,,0.0,8.238,0.0,,2
,3.2685,,,0.0,0.0,3.0,40.9,,3.0,,,,1.528,10.009,,1.018,1.123,,0.0,0.0,1.22,1.0,0.0,0.0,,2.29,,0.0,10.337,1.945,0.0,2.0,,1.0,3.743,2.75,0.0,,0.0,,2
5.156,,0.0,0.0,,0.0,,55.6,0.0,,0.0,,,,,16.0,1.103,,0.0,0.0,,1.225,6.0,0.0,0.0,,,,0.0,,1.508,0.0,0.0,0.0,,3.986,,0.0,9.007,,0.0,2
,,0.0,,0.0,0.0,2.0,40.0,,4.0,,,3.678,1.875,10.32,,1.016,1.125,0.0,,0.0,,,0.0,0.0,0.0,2.349,0.0,,23.088,2.707,,0.0,0.0,0.0,,2.667,,8.642,2.0,0.0,2
,2.2282,,,,0.0,,,,,0.0,,,,,13.0,,1.116,0.0,0.0,0.0,1.243,,0.0,,,2.355,0.0,0.0,,4.684,,0.0,0.0,,3.798,2.406,0.0,,2.0,,2
,,0.0,,,0.0,2.0,43.8,,,,,3.808,2.123,10.379,12.0,,1.117,,0.0,,1.235,1.0,0.0,0.0,0.0,,0.0,0.0,23.409,,,,0.0,0.0,3.795,2.704,0.0,,,,2
4.876,,0.0,,0.0,0.0,2.0,41.7,,4.0,0.0,-0.858,3.571,1.59,,10.0,1.03,,0.0,0.0,,1.203,1.0,0.0,0.0,0.0,2.297,0.001,,22.051,,0.0,0.0,,,,2.833,,,2.0,,2
4.842,2.9844,0.0,,0.0,0.0,,41.7,2.0,,0.0,-0.87,,,,,0.998,,0.0,0.0,0.0,,1.0,0.0,0.0,,,0.004,,,2.113,0.0,0.0,0.0,,,2.611,0.0,8.382,0.0,,2
4.982,2.8539,,0.0,0.0,,2.0,,0.0,3.0,0.0,,,,10.226,,1.05,1.097,,0.0,,,3.0,0.0,0.0,,2.424,,,,1.027,,0.0,0.0,0.0,3.866,,,,,0.0,2
4.828,,0.0,0.0,,0.0,2.0,,0.0,4.0,,,,,10.424,10.0,1.026,1.104,0.0,,0.0,,2.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,8.88,0.0,0.0,2
5.12,,0.0,,,,,36.8,,,0.0,-1.775,4.156,2.419,10.778,18.0,,,0.0,,0.0,,1.0,,0.0,0.0,,,,36.905,,0.0,0.0,0.0,,3.852,2.481,0.0,9.032,3.0,,2
4.732,3.0836,,,0.0,,1.0,,0.0,,,-0.879,3.151,1.187,,4.0,1.02,,0.0,,0.0,1.235,,0.0,,0.0,,,0.0,10.201,1.659,0.0,0.0,0.0,1.0,3.663,,0.0,8.161,,0.0,2
,,0.0,,1.0,0.0,2.0,41.2,0.0,,2.0,-0.931,,1.185,9.882,4.0,,1.127,0.0,,0.0,,,0.0,0.0,0.0,,,,10.271,1.74,0.0,,2.0,,3.707,3.0,1.0,8.288,0.0,0.0,2
4.951,,,,0.0,0.0,2.0,38.7,2.0,3.0,0.0,-0.464,,,,9.0,1.002,1.127,,0.0,0.0,1.223,1.0,,,0.0,2.29,-0.001,0.0,11.465,,0.0,1.0,0.0,1.0,,,0.0,8.502,1.0,0.0,2
4.923,3.3133,,,0.0,0.0,2.0,43.8,,3.0,,,3.261,1.185,9.911,7.0,1.04,,,0.0,0.0,1.207,1.0,,0.0,0.0,2.267,,,,1.563,0.0,1.0,,,3.741,3.2,0.0,,0.0,0.0,2
,3.3935,0.0,0.0,0.0,,2.0,,1.0,4.0,,,,1.508,10.173,8.0,1.04,1.119,0.0,,0.0,,1.0,0.0,0.0,,2.307,-0.002,,,,0.0,1.0,0.0,1.0,,,,8.567,0.0,0.0,2
,2.7876,,,0.0,0.0,2.0,40.0,,4.0,,-0.746,3.678,2.125,,8.0,,1.125,0.0,,0.0,1.217,,0.0,0.0,0.0,2.282,0.0,,,,0.0,,0.0,0.0,,,0.0,,,,2
,,1.0,0.0,0.0,,1.0,,0.0,3.0,0.0,0.0,,,10.25,6.0,,1.112,0.0,,0.0,1.246,,,0.0,,2.288,0.015,0.0,,1.726,0.0,1.0,,,4.734,3.258,,9.474,0.0,0.0,2
,2.2808,,0.0,,0.0,0.0,35.3,0.0,1.0,0.0,0.464,,,,,0.985,1.134,0.0,0.0,0.0,1.197,1.0,0.0,,0.0,2.101,-0.069,0.0,10.463,0.975,0.0,0.0,0.0,0.0,3.344,2.31,0.0,7.446,,,2
4.963,2.736,0.0,0.0,0.0,,,52.4,0.0,2.0,0.0,-0.884,3.532,0.985,10.277,4.0,1.009,1.099,,,0.0,,,0.0,0.0,0.0,2.359,0.001,0.0,,1.762,0.0,0.0,,,3.881,2.59,0.0,8.68,0.0,0.0,2
4.877,2.6955,0.0,0.0,0.0,,3.0,47.1,,3.0,0.0,0.0,3.359,0.943,10.07,,1.037,,,,0.0,,3.0,,0.0,,,,,10.31,1.496,,,0.0,,3.775,2.591,,8.386,0.0,,2
4.414,,,,0.0,0.0,0.0,,,1.0,1.0,0.041,2.898,0.802,9.183,,1.016,,0.0,0.0,0.0,,,,0.0,,2.101,-0.082,0.0,10.249,0.975,,,,,3.535,,1.0,7.809,,0.0,2
,2.8471,0.0,0.0,,,2.0,50.0,0.0,2.0,3.0,-0.995,3.539,0.985,,,,,,0.0,,1.277,3.0,0.0,0.0,0.0,2.359,0.001,0.0,10.582,1.762,,,4.0,,,2.667,,,,0.0,2
,2.8739,0.0,0.0,0.0,0.0,0.0,,3.0,,,,,1.425,10.091,6.0,,1.144,,,0.0,,,,0.0,0.0,2.274,0.004,0.0,10.582,,,0.0,,0.0,,,0.0,,,,2
,,0.0,0.0,0.0,,0.0,31.6,0.0,,,0.225,2.93,,9.272,2.0,0.992,1.147,0.0,,,,1.0,,0.0,0.0,2.091,0.041,0.0,10.572,1.017,0.0,,2.0,1.0,3.355,2.333,1.0,,0.0,,2
,,0.0,0.0,0.0,0.0,0.0,23.1,2.0,6.0,0.0,0.0,,1.792,10.074,8.0,1.044,,0.0,,0.0,1.011,,,,,2.247,-0.008,0.0,,2.666,0.0,0.0,0.0,,,,,7.88,0.0,0.0,2
4.977,1.8975,,0.0,,0.0,0.0,,1.0,6.0,0.0,-0.336,4.19,3.866,10.735,9.0,,1.142,,,,1.157,1.0,0.0,,,,,,11.756,10.593,,,,3.0,3.497,2.267,0.0,8.727,0.0,0.0,2
5.164,3.0492,,,1.0,0.0,0.0,26.7,,6.0,1.0,,,,,9.0,,,0.0,0.0,0.0,1.083,,0.0,,0.0,,-0.001,,10.741,,,0.0,,,,,1.0,,0.0,0.0,2
3.732,2.4945,0.0,,0.0,,0.0,22.2,1.0,,2.0,0.0,,1.585,8.16,0.0,,1.171,,0.0,0.0,1.119,0.0,,0.0,,1.802,-0.212,0.0,0.0,2.488,,,2.0,3.0,2.89,2.167,,,0.0,,2
,,0.0,0.0,2.0,0.0,,30.8,,0.0,,,3.545,3.146,9.522,,0.964,1.145,0.0,,,1.194,0.0,,,,1.97,0.0,0.0,0.0,6.909,0.0,0.0,,1.0,3.005,,1.0,,,0.0,2
3.986,2.958,,,,,0.0,,2.0,1.0,,0.0,,,,,0.965,1.141,0.0,0.0,,1.198,,0.0,0.0,0.0,1.987,,0.0,0.0,10.955,0.0,0.0,0.0,,3.01,,0.0,,0.0,,2
4.235,,0.0,,,,,29.6,2.0,1.0,0.0,0.0,2.946,1.975,9.118,1.0,,,,0.0,0.0,1.168,0.0,0.0,0.0,,1.962,0.039,,,3.449,0.0,,0.0,1.0,3.064,2.093,0.0,,,0.0,2
,,0.0,0.0,,0.0,0.0,32.8,1.0,1.0,,0.0,,3.974,,1.0,0.967,,0.0,0.0,0.0,1.189,1.0,0.0,0.0,0.0,,,,0.0,8.475,,,,0.0,3.322,1.611,,8.211,0.0,,2
,3.0285,0.0,0.0,0.0,,,,3.0,2.0,,0.0,2.867,,,2.0,,1.151,,,,1.123,,,0.0,0.0,,-0.074,0.0,0.0,2.524,0.0,,0.0,2.0,3.076,,0.0,7.149,0.0,0.0,2
4.414,3.7375,,0.0,,0.0,0.0,,3.0,,0.0,1.188,2.812,1.379,9.222,,,1.134,0.0,0.0,0.0,1.258,0.0,0.0,0.0,,2.0,,0.0,,2.133,,,,0.0,,2.619,,7.714,0.0,,2
4.0,3.2163,0.0,,0.0,,0.0,,1.0,2.0,0.0,,2.334,0.811,,0.0,,1.156,0.0,,0.0,1.076,,0.0,,0.0,1.732,-0.687,,9.0,1.0,0.0,0.0,0.0,1.0,,4.167,0.0,,0.0,,2
4.412,3.402,0.0,,0.0,0.0,,,2.0,,0.0,,4.486,4.297,,6.0,,1.14,0.0,,0.0,1.193,,,0.0,0.0,,0.0,,23.775,,0.0,0.0,,0.0,3.405,,0.0,8.926,,,2
,4.002,0.0,,,0.0,,32.4,4.0,4.0,0.0,-0.28,4.039,,10.485,,,,,0.0,,,0.0,,0.0,0.0,,,0.0,23.596,8.016,,,0.0,,3.408,,0.0,8.619,,0.0,2
4.386,,,,0.0,0.0,,32.5,,4.0,0.0,,4.167,,10.379,8.0,,,0.0,0.0,,1.186,0.0,0.0,0.0,,,,,23.377,,,0.0,0.0,,3.376,2.044,0.0,,0.0,0.0,2
4.263,,,0.0,0.0,,0.0,28.6,,4.0,0.0,,3.41,,9.533,4.0,,1.135,0.0,0.0,0.0,,0.0,,,0.0,,0.015,0.0,,,0.0,0.0,0.0,2.0,,,0.0,8.478,0.0,0.0,2
4.17,3.4143,0.0,,0.0,,0.0,30.0,0.0,1.0,,-0.481,2.548,,8.597,,1.02,1.154,0.0,0.0,0.0,1.174,,,,0.0,1.848,0.425,0.0,9.472,,,0.0,1.0,2.0,,3.533,,7.404,,0.0,2
,4.0313,0.0,0.0,1.0,,0.0,,,2.0,0.0,0.159,,2.134,,,0.991,1.145,0.0,0.0,0.0,1.184,0.0,0.0,0.0,,,,0.0,10.961,3.936,0.0,0.0,3.0,0.0,3.527,2.372,1.0,8.131,0.0,0.0,2
4.347,,,0.0,1.0,,0.0,30.8,,2.0,2.0,-0.193,3.233,,,,0.998,1.147,,,,,0.0,0.0,,0.0,2.011,,0.0,10.535,4.098,0.0,0.0,,1.0,,2.515,1.0,7.864,,0.0,2
,,0.0,,0.0,0.0,0.0,33.3,,,,,3.047,,9.309,4.0,1.09,,,0.0,0.0,,0.0,0.0,0.0,,2.0,,0.0,19.107,2.682,,,,2.0,,4.167,0.0,8.016,,0.0,2
4.562,,,0.0,0.0,0.0,,25.0,,,0.0,-1.185,,,9.184,2.0,,1.156,0.0,0.0,0.0,1.066,0.0,0.0,0.0,,,,0.0,9.449,1.521,,,0.0,2.0,,,0.0,,0.0,,2
,,,,,0.0,0.0,,0.0,5.0,,-2.845,,,9.666,,,1.153,,,0.0,,,0.0,0.0,,2.117,,,19.412,,0.0,0.0,,,3.49,,0.0,,,,2
,3.72,0.0,0.0,,0.0,,31.3,1.0,,,,,,9.345,4.0,1.032,,,,,,0.0,0.0,0.0,0.0,2.042,-0.088,,20.291,2.34,0.0,,0.0,0.0,,3.292,0.0,,,,2
4.385,,,0.0,0.0,,0.0,32.4,0.0,7.0,0.0,,3.819,3.09,9.999,,1.034,1.141,0.0,0.0,0.0,1.135,0.0,,0.0,0.0,,,0.0,,6.884,0.0,0.0,,0.0,,2.833,0.0,,,0.0,2
4.791,4.5316,0.0,0.0,2.0,0.0,,23.1,2.0,,,-1.384,,,,2.0,,,0.0,,,1.117,,0.0,,,,,0.0,20.829,2.395,,,,6.0,3.467,3.083,4.0,8.19,0.0,,2
,,,0.0,0.0,,0.0,34.8,3.0,1.0,0.0,,,1.837,9.389,,0.979,1.135,0.0,,0.0,1.236,0.0,,,,2.0,0.042,,10.396,,,0.0,,0.0,3.349,2.37,0.0,,0.0,,2
4.499,,1.0,0.0,,,1.0,46.7,1.0,,0.0,0.0,3.185,,9.311,0.0,,,,0.0,,,,0.0,,,,0.043,0.0,,,0.0,0.0,0.0,,3.692,2.16,0.0,8.337,,,2
,2.6738,0.0,0.0,2.0,0.0,1.0,41.7,1.0,2.0,,-0.396,,1.911,9.989,,,1.125,,,0.0,1.256,1.0,,,0.0,2.202,-0.002,,,3.267,,1.0,3.0,1.0,3.611,2.692,1.0,8.461,0.0,0.0,2
4.692,2.7215,0.0,0.0,2.0,0.0,,40.7,,,,-0.393,3.547,,10.164,3.0,1.002,,0.0,0.0,0.0,1.259,1.0,0.0,0.0,,2.236,,,21.814,,,1.0,,,,,1.0,8.548,0.0,0.0,2
4.543,,,,2.0,0.0,1.0,,,,,,3.298,,,1.0,,1.127,,0.0,,1.253,,0.0,0.0,0.0,2.166,,0.0,,2.905,0.0,,,1.0,3.567,,1.0,,,0.0,2
4.653,1.8048,0.0,0.0,0.0,0.0,,,1.0,1.0,,,,3.355,,,0.97,,0.0,0.0,0.0,,,0.0,,0.0,2.214,,0.0,,8.143,,1.0,,,3.64,1.833,0.0,8.486,0.0,0.0,2
,3.2113,,0.0,0.0,,,42.9,,2.0,0.0,,,0.875,,4.0,1.022,,,,0.0,,1.0,,,0.0,2.17,0.047,,,1.14,0.0,,0.0,2.0,3.646,2.917,,8.003,0.0,0.0,2
4.77,,,,,0.0,2.0,,,,0.0,0.125,3.217,1.185,9.882,2.0,,1.114,0.0,0.0,0.0,1.294,1.0,,,0.0,2.236,0.014,0.0,10.757,,,,,0.0,,,,8.251,,0.0,2
5.072,2.4853,0.0,0.0,0.0,0.0,,36.1,,,0.0,-0.892,4.22,,10.799,12.0,,,0.0,0.0,,1.22,,,,0.0,,,,,,,0.0,0.0,0.0,3.794,2.144,,,,0.0,2
4.882,3.2502,0.0,,,,2.0,44.4,,,,,3.451,1.258,10.136,8.0,1.053,1.116,0.0,0.0,0.0,1.194,,0.0,0.0,,2.288,0.005,,20.766,,0.0,,0.0,,3.762,,0.0,8.529,0.0,,2
4.844,2.3785,0.0,0.0,,,,50.0,0.0,,,-0.439,,,,9.0,1.015,1.104,,,0.0,1.266,2.0,0.0,0.0,0.0,2.286,,,11.622,,,2.0,,1.0,3.736,,,,,,2
4.77,2.6687,0.0,0.0,0.0,0.0,,,,,0.0,,3.131,,,0.0,0.964,1.128,0.0,,0.0,1.264,1.0,0.0,,0.0,2.236,0.012,,,,0.0,0.0,0.0,,3.533,1.75,0.0,7.981,0.0,,2
4.675,1.7703,,0.0,,,,33.3,,0.0,4.0,0.0,,0.0,9.971,,,1.141,,0.0,0.0,1.185,2.0,,0.0,0.0,,0.001,0.0,0.0,2.829,0.0,0.0,4.0,,,,,,,0.0,2
4.645,,,,0.0,,3.0,,0.0,3.0,0.0,,,0.0,10.642,12.0,,1.107,0.0,,,1.297,3.0,0.0,,0.0,,0.0,0.0,,3.604,0.0,,0.0,,3.957,,0.0,,,,2
4.679,,0.0,0.0,,,2.0,44.4,0.0,,0.0,0.0,3.233,1.261,9.715,4.0,1.011,1.116,,0.0,,1.246,,0.0,0.0,0.0,,,,,,0.0,1.0,0.0,0.0,,,,,,0.0,2
4.863,2.4397,1.0,,0.0,,,,0.0,0.0,0.0,0.0,,0.569,,0.0,0.984,1.087,0.0,,,,2.0,1.0,0.0,0.0,2.3,,,,2.241,0.0,1.0,0.0,0.0,,1.981,0.0,11.612,,1.0,2
4.481,2.7716,,0.0,0.0,0.0,0.0,33.3,,2.0,,-0.065,,,9.053,,1.047,1.139,,0.0,0.0,,1.0,0.0,0.0,,,,0.0,9.677,0.964,0.0,0.0,,,,3.033,0.0,,,0.0,2
,,0.0,,0.0,,0.0,38.5,,,,0.0,2.895,,9.209,,1.023,1.128,0.0,0.0,0.0,1.241,1.0,0.0,,,,-0.083,,,,0.0,,0.0,1.0,,2.667,,7.872,,0.0,2
,2.6696,0.0,,0.0,0.0,0.0,33.3,0.0,2.0,,-0.046,,,,2.0,,1.139,,,,1.166,1.0,0.0,0.0,0.0,2.115,0.137,0.0,,,0.0,0.0,0.0,0.0,3.416,,0.0,7.481,0.0,,2
,2.757,0.0,,0.0,,,35.3,1.0,3.0,,-0.444,,1.233,9.856,6.0,1.03,1.135,0.0,0.0,0.0,,1.0,,0.0,,2.288,-0.026,0.0,21.128,1.585,1.0,0.0,0.0,0.0,,3.019,,,0.0,,2
4.414,2.9065,,0.0,0.0,,,30.8,1.0,,0.0,-0.549,2.875,,,,,1.144,0.0,,,1.119,1.0,0.0,0.0,0.0,2.199,,,10.009,1.101,,,0.0,0.0,3.512,,,,,,2
,3.3902,,0.0,0.0,,,,,,1.0,,3.459,,10.136,4.0,1.069,,,,0.0,,1.0,,0.0,0.0,2.288,,0.0,,2.011,0.0,,,2.0,3.785,3.472,,,0.0,,2
4.17,,0.0,0.0,0.0,0.0,,20.0,1.0,2.0,,-0.968,,,8.597,0.0,1.052,,0.0,,,,,0.0,0.0,0.0,,0.441,,9.243,1.542,0.0,,1.0,,3.326,4.033,1.0,7.273,,,2
,,0.0,0.0,0.0,0.0,0.0,27.3,,2.0,0.0,,,0.917,9.459,3.0,1.067,1.166,,,0.0,1.127,,,,,,,,20.069,,,0.0,2.0,,,,2.0,7.873,,0.0,2
5.076,3.5506,0.0,,,0.0,0.0,38.1,,,2.0,,,1.258,10.189,7.0,,1.133,0.0,0.0,,1.204,,0.0,,0.0,,0.004,0.0,,1.244,,1.0,,2.0,3.821,3.014,1.0,8.441,,0.0,2
,3.6465,0.0,0.0,,0.0,0.0,25.0,,,2.0,,3.198,,,3.0,,,,0.0,,1.1,,,0.0,,2.107,,0.0,,2.989,,0.0,3.0,,3.445,,2.0,8.044,0.0,0.0,2
3.414,,1.0,,,,,,,,0.0,,2.631,,7.408,,,1.132,0.0,,,1.291,0.0,0.0,1.0,0.0,,,,,,0.0,,0.0,0.0,3.567,,,,0.0,,2
4.303,3.0634,0.0,,0.0,0.0,,21.4,,3.0,0.0,0.0,,,,,1.037,1.164,,0.0,0.0,0.995,,0.0,,,1.932,-0.253,,0.0,1.745,,,,,,,0.0,6.978,0.0,0.0,2
4.303,3.0468,,0.0,0.0,0.0,0.0,23.1,,2.0,,0.0,,1.459,8.815,1.0,1.039,1.156,,,0.0,1.09,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,2.0,3.579,3.407,0.0,7.899,,,2
,2.9483,0.0,0.0,,0.0,,23.5,1.0,1.0,0.0,,2.587,1.459,8.755,0.0,,1.164,,0.0,0.0,,,0.0,0.0,,1.902,-0.223,,0.0,,0.0,,1.0,1.0,3.077,2.5,,6.954,0.0,0.0,2
