x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,class
,,,,,,,,,,,,,10.0,,,P
,,,,,,,,,,,6.0,4.0,,,,V
,,,,4.0,8.0,,,,6.0,,,,,2.0,,A
,,6.0,,,,,,,,,,,,3.0,,O
,,,,,,,,2.0,,6.0,,,,,,O
,,,8.0,,,8.0,,,,,,3.0,,,,T
,,,,,4.0,,,,,,,,,,,V
2.0,,,,,,,1.0,,,,,0.0,,,,L
,,,,,,,0.0,,,6.0,,,,1.0,,I
4.0,,,,2.0,6.0,,2.0,,,,,,,4.0,,I
,,,,,,,,,,,,,,,8.0,U
,,,,,,,,,,,,,10.0,,,V
,,6.0,,,,,,,11.0,,5.0,,,,,F
,,,,,,,,,,,,,,,,F
4.0,,,,,,8.0,,1.0,7.0,8.0,,,,,,W
,10.0,4.0,,,,7.0,,,13.0,,,,,1.0,,I
,,5.0,,,,,,,9.0,,,,,,,U
5.0,,,6.0,,,,,,6.0,,,,,5.0,4.0,W
,3.0,,4.0,,,,,,,,,,,,,H
,,,,,,,,,5.0,,,,,,,N
,,,,,,,,3.0,8.0,,,,,,,Q
,,,,1.0,,,,6.0,,,7.0,0.0,,,,L
,,,,,,,7.0,,,,9.0,,,,,L
,6.0,,,,,,2.0,,6.0,,,,,,,V
1.0,,3.0,,1.0,,,1.0,,,,,1.0,,,,Z
5.0,,,8.0,,,,,,,,,,11.0,9.0,11.0,G
,7.0,,,,,,,5.0,7.0,,8.0,,,,,U
,13.0,,,,,,,,,7.0,,,,,8.0,K
,13.0,,,,8.0,,4.0,,10.0,,,,8.0,,,Q
,15.0,,,,,,,,,,,,,,10.0,A
,,,7.0,,,6.0,,,,,8.0,3.0,8.0,,,Q
,,,,,7.0,,11.0,,,,8.0,,,0.0,,H
,,,,2.0,9.0,,,,,3.0,,,8.0,3.0,9.0,X
,,,,,,8.0,,,14.0,6.0,,,,,,I
,5.0,5.0,,,,,,3.0,,,,,,,,R
4.0,,6.0,,,,,,,,,,,,,7.0,K
,,,,5.0,,,,,9.0,,,,,4.0,,P
,,,,,,,3.0,,13.0,7.0,,,,,,F
,11.0,,,6.0,,,,,,7.0,,,,,7.0,O
,,,,,,,,6.0,,,,3.0,,4.0,9.0,Q
,,,,,5.0,11.0,,,11.0,,5.0,,11.0,,5.0,T
7.0,,,,,,,2.0,,,,,,,,3.0,Y
,10.0,,,,,,5.0,,,,,3.0,,,,V
5.0,,7.0,,,,,,,,,,,,,,L
,,,,4.0,,,3.0,,10.0,,,,,,,F
,,,8.0,,8.0,,,9.0,,,,2.0,,,,E
,,,,,,,,,,7.0,13.0,1.0,,,,C
,,6.0,6.0,,,,5.0,,11.0,,,,7.0,,,B
,,,,,5.0,,,,10.0,,6.0,,,,5.0,F
,5.0,5.0,6.0,,,,,,,,8.0,,7.0,,,I
,,,,6.0,,,4.0,,,,,,,,,D
,,,,2.0,,,,,,,,3.0,,,,H
8.0,,,,,9.0,,,,,,5.0,,,,,V
,,,6.0,5.0,9.0,8.0,,,10.0,,5.0,,,,,B
,11.0,,,,,5.0,,,,,,,9.0,,,S
,,,,,,,11.0,,,,,,,,,U
4.0,,,,,7.0,,,,,,,3.0,8.0,,,E
5.0,,,,,,7.0,,,,7.0,,,,,,S
,,,,,10.0,,3.0,,,,5.0,,8.0,,,D
,,,,3.0,,,,9.0,,,,,,6.0,5.0,Z
,,5.0,,,,,,,,,,,,,,A
,,,,3.0,,,,,,,8.0,,,,,N
,,,0.0,,7.0,,,,,7.0,,,,0.0,,H
,7.0,,5.0,,,,,3.0,,,,,,2.0,,W
,,,,,,,,6.0,,0.0,6.0,,,,,L
,,,,,,,,3.0,6.0,7.0,,,,,7.0,H
,,,,,,,,,6.0,,,,,,,R
,8.0,8.0,6.0,,6.0,,,,,,7.0,,,,,H
,,,,,,,6.0,,13.0,9.0,,,,2.0,,F
,,,,,7.0,,,,,,,,,,,O
,,,,1.0,,,,1.0,5.0,6.0,,,8.0,0.0,,N
,7.0,,,,0.0,,,,,,7.0,,8.0,,,L
,,,,,,,2.0,7.0,,,7.0,,,,,X
,,6.0,5.0,,,7.0,,4.0,,5.0,,,,4.0,,N
,,,,,,,3.0,,,,,4.0,,,,D
4.0,,6.0,8.0,4.0,,,,,,,6.0,,,,,F
4.0,,,6.0,,,,,,10.0,,,,,,,D
5.0,,,4.0,,,,,,,,,,6.0,6.0,,M
4.0,10.0,,,,6.0,9.0,,,,,,,,,,Z
,9.0,,,,,,,,8.0,,,,,,,E
3.0,,,,4.0,,7.0,,,,6.0,9.0,,8.0,3.0,,H
,,,6.0,,7.0,,,,,,6.0,,,,,H
,11.0,,,,3.0,,,9.0,2.0,,,,,,,L
,,,4.0,,,14.0,,6.0,6.0,,,,,,,T
3.0,,4.0,4.0,,,,,1.0,,,8.0,,,,,M
,,,,,,6.0,,,7.0,,,,,,,U
,10.0,7.0,,,,,,,,,4.0,4.0,,,8.0,P
,,,,,,,5.0,,,,,12.0,,,8.0,M
,6.0,,,,,,,9.0,,5.0,,,,,,G
,,,,,6.0,6.0,5.0,,,,,5.0,8.0,,,U
,,,,,,,4.0,,,,,,,,,H
,,,,,,,8.0,1.0,,,,,,,8.0,P
,,5.0,,,,,7.0,,6.0,,,2.0,8.0,,,G
,,,,2.0,,,,,,8.0,,,,0.0,,H
,10.0,,,,,8.0,,,,5.0,,,,5.0,,I
,,,,,4.0,,,,,,,,,1.0,,N
9.0,,,7.0,,,,,,,,,,,,,H
,,,7.0,,7.0,,,2.0,,5.0,,,,,,S
,,,6.0,,,,,,,7.0,,,,,,S
,3.0,,,,6.0,,1.0,,,,,,6.0,,,A
,,,,,,,,,,,,,,,,R
,,,,,4.0,,,7.0,,,,,,,,U
,11.0,,8.0,5.0,,,,,,6.0,,,,8.0,,S
,,7.0,8.0,,,,4.0,,12.0,,,,,,,P
,,7.0,,,,,,,,5.0,8.0,,8.0,5.0,,S
,,,,1.0,15.0,,3.0,,,,7.0,,,,,J
,,,,4.0,,,6.0,,6.0,,,,,,,U
3.0,,,,2.0,,,,3.0,,,,,,,,A
,,,,,,8.0,,1.0,,,,,,,,W
,,,8.0,,9.0,,,,,,,0.0,,,,I
,,4.0,,,,,,6.0,,,,1.0,6.0,,6.0,L
,,,,,,8.0,,8.0,9.0,,,,,,,C
,,,,,,,5.0,,,,,,7.0,,,J
,,,,,,,,,11.0,,,,,,11.0,E
,,,,,,,,,,,,,8.0,,,D
,,10.0,7.0,,,,,9.0,,,,,7.0,,7.0,X
,,,,,,7.0,,,8.0,,,,,,9.0,P
,,,6.0,2.0,,,,,,,,3.0,,,,Q
,,,8.0,6.0,8.0,5.0,,,,,5.0,5.0,,5.0,,O
,,,,,,6.0,,,,,,,,6.0,,I
,4.0,,3.0,,,,,,,,,,,,,Z
,,,5.0,2.0,,,,,,,8.0,2.0,,,,V
,1.0,,2.0,,,,,,,6.0,,,,,,E
,,,,,,,,3.0,,,,9.0,,,,W
,,,,,,6.0,,,6.0,,,,,,7.0,U
,,,2.0,,,7.0,,1.0,,,,,,,,K
,8.0,,,,,,,,,6.0,8.0,,8.0,,8.0,I
,,,,2.0,,7.0,,,,,,0.0,,,,Z
,,,,2.0,,,,,10.0,,,,,,7.0,F
,,4.0,,,8.0,,9.0,7.0,,,,3.0,,,,O
,,9.0,,,,,3.0,,,5.0,6.0,,,,,S
,,,,,,8.0,5.0,,,,,8.0,,,,W
,,6.0,15.0,,,,,,,,,,,,,Y
,,3.0,,,,,,,7.0,,,2.0,,,8.0,S
,,,,,,,,,,,,,,,,U
,,,4.0,,,,,,,,7.0,,,,,H
,,,,,,,3.0,,,,,,,,,S
,,,,,,,3.0,,,,,,,,,V
,,,,,,,,,,,,,,,,V
,,,,,,,4.0,,,,11.0,,,,7.0,J
,,,6.0,,8.0,,4.0,,,,,,,,7.0,B
,8.0,,,,8.0,,6.0,,,,,3.0,8.0,,11.0,R
,,,8.0,,1.0,,,,,11.0,,,8.0,,,F
,,,,,,,,,,,,0.0,9.0,,,S
4.0,,,,,,,,,,,,3.0,,,,Q
,,,,,,,,,,,,1.0,11.0,,,Y
,,,,,8.0,,2.0,,,,,,,,,A
,9.0,,4.0,,11.0,,,,9.0,4.0,,,,,,A
,,,,,,7.0,6.0,,,,,,,,,W
,,,,,7.0,,,10.0,5.0,,,0.0,9.0,,,S
,,5.0,,,,,4.0,,,,,,,8.0,9.0,F
,,,2.0,,,,,,,,6.0,2.0,,,,B
,,,,,,,,,13.0,,12.0,,,,,C
,5.0,,,3.0,,6.0,,,,,,,,,,R
,,,2.0,,5.0,8.0,,,,,,,,2.0,,U
3.0,,,,,,,,,6.0,,8.0,2.0,,,,Y
,,,3.0,,,7.0,,,,6.0,,2.0,,9.0,,S
,,,,,10.0,,,1.0,,,,,,,8.0,A
,,,,,,,,,,,,,,2.0,,X
,,,,,,,,4.0,6.0,6.0,,,,8.0,,E
6.0,,,7.0,9.0,,6.0,,,6.0,,,,8.0,,,M
,,,7.0,6.0,,11.0,2.0,,,,,,,,,W
,,3.0,,,,,,,,13.0,8.0,,,0.0,,U
,,8.0,,2.0,,,,,,,,3.0,,,,V
1.0,0.0,,,,,,3.0,,6.0,,,,,0.0,,V
,,,7.0,,,,,,,,4.0,,,,4.0,T
,,,,,,,0.0,8.0,,,,,8.0,,,I
,,,,,,,,,9.0,,,,,6.0,,R
5.0,,,7.0,,,8.0,,,7.0,,,,,,,T
,,,2.0,,,,,,,,,,,,,I
,,,,6.0,,,,,9.0,,,,,3.0,8.0,D
,,,,,,,,,,,,,,,,C
,,,5.0,,,,,5.0,,4.0,,,10.0,2.0,,P
,,,,,5.0,,,,,,,2.0,,,,F
,3.0,3.0,,1.0,,,,,,,,,,,,J
,,,8.0,5.0,,,,1.0,,,,,,,10.0,N
,,,,,,7.0,,5.0,10.0,5.0,,,8.0,3.0,,B
,,,,,,,4.0,,,,,,,,,D
4.0,,,,,,,,,,,,,,,,L
,,,,,,,3.0,,,,,,,,,T
,,0.0,,0.0,,,,,,,8.0,,,,,I
3.0,,5.0,,,,,,7.0,,,10.0,,7.0,,8.0,K
,,6.0,,,8.0,,,,,5.0,,9.0,,,,W
,,,,1.0,,,,,,,,,,,,F
,,,,,,,,,,11.0,,,,,5.0,Y
,5.0,,4.0,2.0,,,,,,,,3.0,9.0,,6.0,U
,,,,,8.0,,,,,,,5.0,,4.0,8.0,P
,,,,,8.0,6.0,,,,,8.0,,,2.0,8.0,M
,,,,,,,,,,,,,,,,Y
4.0,,,,,,,,,,,,5.0,,,10.0,S
,,,,,,7.0,,,,7.0,,3.0,6.0,,,G
3.0,,4.0,,,9.0,,1.0,,,,,,,,9.0,L
,,,5.0,4.0,,,,,4.0,,,,,,,M
,,,,,,6.0,,,,,,,8.0,,,G
,,,4.0,,,,,10.0,,,,1.0,,6.0,8.0,Z
,,,,7.0,10.0,,,,10.0,,,3.0,,,,D
,,,,8.0,8.0,8.0,,,,6.0,,,,,13.0,G
,,,,,7.0,,,,,,8.0,,,,,W
,,,,,,,,,,,,2.0,10.0,2.0,,S
,,6.0,,4.0,,,,,,,,,8.0,0.0,,T
,10.0,,,3.0,,11.0,,,,,,,,,,P
,8.0,,6.0,,,7.0,,,,7.0,,,,,7.0,C
,,,,,,7.0,,,,,,2.0,,,,D
5.0,9.0,,,,,,,,,,,,,,,E
,,,,,7.0,,,7.0,,,,,,,8.0,S
,,4.0,5.0,,,7.0,,6.0,,,,,,5.0,,B
,,,,,,,,,,6.0,,,,,8.0,I
,,,,,,,,,10.0,,,,,,,G
,9.0,10.0,,,,,,5.0,,,,10.0,5.0,,,M
,,,,,,,2.0,,,,8.0,,,,,I
,,,,,,6.0,,,,,10.0,,7.0,,,Z
,,,,,,8.0,,,,,,,6.0,,6.0,S
,,,,,,,,,,,,1.0,6.0,,8.0,J
,,,4.0,,6.0,,4.0,,,7.0,,,,,,Y
,,,,4.0,,,12.0,2.0,,,,,,,,M
,,4.0,,,,,,,,,,,,0.0,,U
,,,,,8.0,,,,,,,,,,,L
,,,,3.0,,,,,,,,3.0,,,10.0,Z
3.0,4.0,,,,3.0,7.0,,,,,,,,,,K
,,,,,,,,3.0,,,,,,,,W
,,,,,,9.0,,,,,,,,,,Q
,9.0,,,,,,,,,,,,,3.0,,F
,,6.0,,7.0,,,,,,,,,,,2.0,I
,,,,,,,,,,,,,,,,G
1.0,7.0,,5.0,1.0,7.0,,,,,6.0,,,,,,I
,,,,,,,,,,,,,,,5.0,T
3.0,,,,,,,3.0,,,,,,,,,A
,,4.0,,,,6.0,,5.0,,,,,,,,G
,10.0,,,,,,,,,,,3.0,,,,U
,,1.0,,,7.0,,,,,5.0,8.0,2.0,,,,H
,,,4.0,,,,,,,,6.0,,6.0,,,D
,0.0,,0.0,,,,3.0,,,12.0,,,11.0,,,V
,,,,,,8.0,,,,,,,,4.0,,C
,,5.0,,,,,,,,,,,10.0,,,V
4.0,,,,,,,,,,,,,,,,R
,9.0,,,,,,,,,,,,,,,U
,,,,,7.0,,,,,,8.0,,,,,X
,10.0,,8.0,,,,,7.0,,,,,,,,O
,5.0,,,,,,,5.0,,,,,,,,O
3.0,,,,,,8.0,,,9.0,8.0,,,,,,C
,,,,1.0,,7.0,,,,,8.0,,,,,O
,9.0,6.0,,,,,,,,,,,,2.0,,F
,8.0,4.0,,,,,,,,,,,8.0,,,N
,,5.0,6.0,,,,,,,6.0,11.0,1.0,,,,J
,,,,,7.0,,,,7.0,,,,7.0,9.0,6.0,W
,,7.0,,8.0,,,,5.0,,,,,,,,B
,13.0,,,4.0,6.0,12.0,,,,,,,,4.0,,P
,,,,,,,,,,,,,,6.0,,R
,,7.0,5.0,,,,,,,,,,,2.0,8.0,M
,,,,,9.0,,,,10.0,,,3.0,,,,R
,10.0,8.0,8.0,6.0,,,1.0,,10.0,,,,8.0,,,K
,3.0,2.0,2.0,,,,,,7.0,,,,,8.0,,S
,,,,3.0,,8.0,,,5.0,,9.0,,,,,Q
4.0,,7.0,,6.0,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,L
,,,5.0,4.0,,,,,,5.0,,,,,,D
,,,4.0,,7.0,,,,,,,,,7.0,8.0,Z
,,,,,,,,,,,,3.0,,,,V
,,,,,,,2.0,,,,,,6.0,,,A
,11.0,,8.0,5.0,,,6.0,,,,,,,,,G
,,,,,,12.0,6.0,,,,,,,,6.0,P
,3.0,,2.0,,,9.0,,,13.0,,,,,,,F
2.0,,,,2.0,,,,,6.0,,8.0,,7.0,,7.0,A
,7.0,4.0,,,8.0,7.0,7.0,,7.0,,,,,9.0,,S
5.0,,7.0,,6.0,,,,7.0,,,5.0,3.0,,4.0,,D
,,,,,,,,,,5.0,,4.0,,,,G
14.0,15.0,,,7.0,,,,,,,10.0,,,3.0,,M
,12.0,,,,,0.0,4.0,,,3.0,,2.0,,,,A
,8.0,,,,,11.0,,,,,,,,,,T
,,,,,,,,8.0,,,,,,,,C
,,,,2.0,,,3.0,,,,,,7.0,0.0,,J
,,,,,,11.0,,,,,,1.0,,,,T
,,,,3.0,,,,,,,10.0,3.0,8.0,,,K
,5.0,,,3.0,,,,9.0,12.0,,,,,,,Z
,,,,,,,,,,,,9.0,,0.0,8.0,W
,,6.0,9.0,,,,,5.0,,,,4.0,,,,S
,,,,,,,,,12.0,,,,,,,C
6.0,,,,2.0,,,,,10.0,,9.0,,,3.0,,S
4.0,,,,,,,5.0,4.0,8.0,,8.0,,,,10.0,F
,,,,,,,,4.0,,,,,8.0,,,X
,,,,,,,,7.0,,6.0,,,,,,I
,,,,2.0,,6.0,,,,,,,,,,H
,,,,,,,2.0,7.0,,,,,,,,S
,,,,,7.0,7.0,4.0,,,,8.0,,,,,X
3.0,8.0,,,,,,,,,,,,10.0,,,V
,,,,,,,,,11.0,,4.0,,10.0,,7.0,F
,,3.0,,,,,4.0,,7.0,,6.0,,,,9.0,B
,,,,,,,,,,,,,,,,V
,,,,,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,Y
,9.0,,,,8.0,,,,,,,,,7.0,,N
,,,,,,,,0.0,,,,3.0,8.0,,,H
5.0,,6.0,,,,,,,,,,,9.0,,9.0,C
,5.0,4.0,,4.0,,,,2.0,,,,,,5.0,9.0,Q
,,,,,,8.0,,,,,,,,5.0,,R
,,,,,,7.0,,,,,8.0,,,9.0,8.0,S
,,,,,,,3.0,6.0,,3.0,,,,,,B
6.0,,,8.0,,,,,,,,,5.0,10.0,4.0,7.0,Y
,,5.0,6.0,,,,,,6.0,,,,,4.0,,C
4.0,,5.0,,4.0,,,,6.0,,8.0,,,10.0,5.0,9.0,T
,,,1.0,,,7.0,,,,6.0,8.0,2.0,8.0,,,X
,7.0,,,5.0,7.0,,,4.0,,,,,,,,L
,,,5.0,5.0,,7.0,,2.0,,,,,,,10.0,G
,,,,,,,,,,13.0,,,,0.0,8.0,Y
,,2.0,1.0,,7.0,,,,,,,,,0.0,,M
,,,,,9.0,,,,,,,3.0,,,,A
,0.0,,,,,,3.0,1.0,,12.0,8.0,,,,,Y
,,,,1.0,,,,,,,,,,,,Y
,,,8.0,,,,,,,,,,,6.0,,E
,,,,,,,,,,,7.0,2.0,,9.0,,S
,,,,3.0,,,,,,,,,,,11.0,G
,,5.0,5.0,,,,6.0,,,,,,,6.0,,H
,,,,,,3.0,,,,,,,6.0,,,A
,,,,,,,3.0,6.0,,,,,,,,S
,,,,,,,,3.0,6.0,,,2.0,,1.0,,V
,,8.0,,,,,,,,,,,,6.0,,P
,,8.0,,,,,4.0,,,,,,,,,K
,,8.0,,,8.0,,,,6.0,,,3.0,,,,R
2.0,,,3.0,,8.0,,,,,,7.0,,,,,S
,,,,,,,,,,,,8.0,,,,U
,,,,,,,,,,9.0,,3.0,,,6.0,U
,,3.0,,,,,,,,,6.0,,,,,N
,,,,,,9.0,,,,,,,9.0,2.0,,M
,,,,,8.0,,,,,4.0,,4.0,,,,K
3.0,,4.0,,,,,2.0,,,,,,,,8.0,Y
,,,,,,,,9.0,,,,,,,,Z
,,,,,,10.0,,,,,,,,,8.0,Y
,,,,,,,,,,,,,,,,M
,,,,5.0,,,,,,,,,8.0,,,O
3.0,5.0,,,3.0,6.0,,1.0,,10.0,,10.0,,,,,K
,,,,5.0,,,,,,,,,,,,Q
4.0,,,6.0,4.0,,,8.0,5.0,,,,,,,,O
,9.0,,7.0,8.0,8.0,,,,,,,,,,,R
,,,,,,,,,,,,1.0,,,,C
7.0,,,7.0,,,,,3.0,,,,,10.0,10.0,7.0,G
,,6.0,,,,6.0,,6.0,9.0,,,,8.0,,,D
,,5.0,,2.0,,,,,,,,,,,,A
,,,,,,,,,,,,,,,,D
,,5.0,,,,,,,,,,,,,,Y
,5.0,,4.0,4.0,,8.0,,,,7.0,,,,,,A
,,,5.0,,,,2.0,8.0,,,,,7.0,,,L
,,,,,,,,3.0,,6.0,,,8.0,,,E
4.0,,,8.0,,,7.0,,10.0,,,13.0,,,,,C
,,,,2.0,,,,8.0,10.0,,9.0,,,2.0,,U
,9.0,,,,6.0,,,,,,,,,,,B
,,,7.0,,,,,,7.0,,,,,,,X
3.0,,,,,,,,,,9.0,,7.0,,,8.0,W
,1.0,,,1.0,,,,,,,,2.0,,3.0,,Q
,,5.0,,,,,,,,,,,8.0,4.0,,X
,,,,,,,,,10.0,,10.0,,,,,X
,,5.0,,,,7.0,,,,,,,,3.0,,D
,,,,2.0,,9.0,,,,7.0,,1.0,,,,P
,,,,2.0,1.0,,,,12.0,,,,8.0,,,F
5.0,,8.0,,3.0,,6.0,,,10.0,1.0,,,9.0,,7.0,N
,,,,,,,,,11.0,,,,,,6.0,J
,,,,,,,6.0,,,,8.0,,9.0,,8.0,S
,,6.0,,,,,,,7.0,2.0,10.0,0.0,,,,L
,,,,,,,,,,,,,,,,E
,5.0,,,,,,,,,,,0.0,,,,I
4.0,,,,3.0,,7.0,,8.0,,7.0,,,8.0,,,X
,,,,2.0,9.0,,,4.0,10.0,,,2.0,,,,R
,,6.0,,,,,2.0,,,7.0,5.0,,,,7.0,F
,14.0,,,,,,,,,,,,,,12.0,Q
,7.0,3.0,,,,,7.0,,7.0,,,2.0,,,,R
,,,5.0,,,11.0,,2.0,,12.0,,,,,8.0,Y
,,,,,,,,,,,,,,7.0,,B
,,2.0,1.0,,,9.0,3.0,,,,,,,,,V
4.0,6.0,,4.0,,,,,,,6.0,,3.0,,,,O
,,,,,,,,3.0,,,,4.0,,,7.0,N
,,,,,,6.0,,,,,,,,,,H
,,,,,,,,,,,,,,,,O
,,,,,,,,,,,,1.0,,,,Z
,,,7.0,,,,,6.0,15.0,,,1.0,,1.0,,J
,,9.0,6.0,,9.0,,1.0,7.0,,3.0,,,,,,K
1.0,,,1.0,,,7.0,7.0,,,,,,,,9.0,B
,5.0,,,1.0,,,,3.0,,,,,,1.0,8.0,V
,8.0,,,,,,,,,,,,,,,T
,,5.0,,,,7.0,,,,,8.0,,,,9.0,K
,,2.0,,,6.0,,,,,,,1.0,,,8.0,C
5.0,,8.0,,,,,,6.0,10.0,,,,,3.0,,H
,,,3.0,,4.0,,5.0,7.0,,,,,9.0,,,C
,,,,,,,7.0,,,,,,,3.0,,K
7.0,8.0,,,,4.0,,,,9.0,,8.0,,12.0,,,W
2.0,,2.0,,,,,,8.0,,,,2.0,,,,Z
,,,,,,,,5.0,,12.0,6.0,,11.0,,5.0,Y
,,,,,,,,,,,,6.0,,8.0,6.0,B
,,,,,6.0,8.0,6.0,8.0,,9.0,,,,,,U
,14.0,,,,,8.0,,,11.0,,,,,,,C
,,,,,7.0,,,,6.0,,,1.0,,,8.0,Z
9.0,,,,,,7.0,,,,,,,,,,U
,,,9.0,8.0,,11.0,,,,5.0,,2.0,,,,P
,7.0,,8.0,,8.0,,,,,,8.0,,,,9.0,I
,3.0,,,,,8.0,,,,,,,,,,K
,,,2.0,,,,,,,,,,,,,I
,10.0,,8.0,7.0,,,,,,7.0,,,9.0,,,E
,15.0,,8.0,,,,,,,,,,9.0,,,K
,,,,,,,,5.0,,,,,,,,O
,,4.0,,,,,,6.0,,,,,,,,B
3.0,,,,,7.0,7.0,,,,7.0,10.0,,,,,E
,4.0,,,2.0,6.0,,,,,8.0,,,,4.0,,G
,,,8.0,,3.0,,,,,10.0,,,,,5.0,U
,,,,,,,,,,,,,,,5.0,Y
,,,,,9.0,,,,,,,2.0,,5.0,,J
,,,,,,3.0,10.0,,,,,,,,,J
3.0,,5.0,5.0,3.0,,,2.0,2.0,,,,3.0,,,,A
,,5.0,,,,,,4.0,,,,,,,5.0,B
,,,,,8.0,,,,,,,,,3.0,8.0,O
,,,,3.0,,,0.0,7.0,,,,,,,,I
,11.0,,8.0,,,,,,,,,,,,8.0,H
,,,4.0,,,,,,,,,,10.0,,7.0,P
1.0,0.0,,,,3.0,,4.0,,,,,,8.0,,7.0,F
3.0,,,2.0,,,,2.0,6.0,,,,,,,,H
,,,,,,5.0,13.0,6.0,,,8.0,,,,,U
,,5.0,,,,,,,,,,,,,,S
,1.0,,,,,,,,,,4.0,,,,,P
,,,,,,7.0,,,14.0,6.0,8.0,,,,,I
6.0,10.0,,,,,,,,,5.0,,,,,,Q
,,,,,,,,6.0,7.0,,,3.0,,,,H
,,,,,,,,,,,,,8.0,,,D
,,,,,,,5.0,7.0,,,5.0,3.0,,,8.0,D
,,6.0,,,,,,0.0,,,,,6.0,,,M
,,3.0,,,,,,,,6.0,,,,,,E
5.0,,,6.0,,8.0,,,,8.0,,8.0,,7.0,,,T
,,,,,,,,,,,5.0,,,,5.0,Y
,,6.0,,,,,,,6.0,,8.0,,,,,M
,3.0,,,,,,3.0,5.0,,,,,6.0,,,R
,,,,,,,1.0,2.0,,,,,,,6.0,A
,,,,,,,,8.0,,,,,,,,K
4.0,5.0,,,,,8.0,5.0,8.0,,,,,,,,U
,,,5.0,,8.0,,,,,,10.0,,,,9.0,Q
,7.0,,,,,,,,,9.0,8.0,6.0,,,,W
,4.0,,,2.0,,,14.0,2.0,,,8.0,,8.0,,,N
,,,6.0,,,,,5.0,7.0,,,,10.0,,,L
,7.0,,,,,,9.0,,9.0,6.0,,,,,,P
,9.0,,7.0,,,,,,,,,,,,11.0,R
,,,,,,,,,,,,2.0,,,7.0,D
,,,,,7.0,,6.0,,,,,,,,,D
,,,,,,,,,7.0,,,8.0,,,,V
,,,,,,,,,6.0,,,,,,,N
,9.0,,,,,7.0,,,,,,,,,,X
,,9.0,,,,7.0,,,,,10.0,,,,,K
4.0,9.0,6.0,,,,,,,,,,,,,7.0,I
,,,,5.0,,,,2.0,8.0,,,,,,,A
,4.0,,,,,,3.0,,,5.0,,,,,9.0,B
,,,,,,8.0,,6.0,,8.0,,,,,,S
,,,,,,,2.0,,,,,,,,,A
,,,,,,,,,,,,,,,,A
,,8.0,,6.0,,,,,,,,,,,,H
3.0,,,,3.0,,,,,,,,,,,,Z
,,,,8.0,,8.0,,3.0,,,,6.0,,,,B
,,,,,,,5.0,,,,4.0,,,,8.0,P
,,5.0,,,,,,,11.0,,13.0,1.0,,,,C
,,5.0,,3.0,,,,,,,,,,4.0,,G
,,,6.0,,,,11.0,,,9.0,8.0,7.0,,,,M
,,,,,,,,,,,,,,,,A
,,6.0,7.0,,,8.0,,,6.0,,9.0,,,5.0,,N
,,,,,6.0,,,,,,,,,,7.0,T
2.0,0.0,,1.0,,,,,,,,,,,,8.0,V
,,,,,,,,,,,,,,,,V
,,,,6.0,,,,1.0,,8.0,,,,,,M
,,,,,12.0,,,,,,,,7.0,,,A
,6.0,3.0,,,1.0,,,,12.0,,6.0,,,2.0,,F
5.0,,5.0,,,4.0,,,,,,,,,3.0,,K
5.0,,5.0,,,,,9.0,,,,,,,,,K
,,,,,,,,,,,,,11.0,1.0,,W
5.0,,,,,,,,,,,,3.0,,,,V
,,,,,8.0,,2.0,,,4.0,,,,,,N
,,,,5.0,,,,,,,9.0,3.0,,,,X
,,,3.0,,,,,,,,,,,,,R
,,,4.0,,,,,,,11.0,,1.0,10.0,2.0,,Y
,,5.0,,,,6.0,3.0,,,,,,,,,J
,9.0,,,,,,,6.0,,,,,,,8.0,G
,,,,,,,,,7.0,,,,,,,J
,,6.0,3.0,,,11.0,,2.0,5.0,9.0,,8.0,,,,W
,14.0,8.0,8.0,,,,,,,4.0,,,6.0,,,D
4.0,,,,,,9.0,,,,,,3.0,,,,F
,,,,,7.0,,,,,,,,,,8.0,T
,,,,,,7.0,,,10.0,,,,10.0,,,S
,,,6.0,,,6.0,,,,,,,,,,K
,,,6.0,,,,,,,3.0,,3.0,,,,D
,11.0,9.0,,7.0,,,,,,,,,,,,A
,,6.0,8.0,,8.0,,,,,6.0,,,,,,B
,,,,,,,,,12.0,,6.0,,,,,F
1.0,1.0,,3.0,,,,,,,,,1.0,,,,J
3.0,6.0,,,,,,,,,,,3.0,,,8.0,G
,,,,,,,14.0,,,,,6.0,8.0,,8.0,N
,,6.0,,,,,,2.0,,9.0,8.0,,,,,M
,,,,2.0,,4.0,14.0,,7.0,,,,,,8.0,U
5.0,,,,,,,,,,,,,,,,V
1.0,10.0,,8.0,,7.0,,,,,6.0,,,,,,I
,,,0.0,,,,,0.0,,2.0,,,,,,A
2.0,,,,2.0,,,,,,9.0,,,,,,F
,7.0,,11.0,,,5.0,,,,,,,,,,Z
,,,,1.0,8.0,,,5.0,,,,,,,,S
,,,,,,,,,,,,,,,,G
,,,,2.0,3.0,,6.0,10.0,,6.0,,,,,,E
,6.0,,,,,,,,,,,5.0,,,,N
,,,,,,,9.0,,13.0,,,,,,,J
3.0,,,,2.0,,,,,,11.0,,,10.0,,,V
5.0,10.0,,,,,,8.0,,,,,3.0,,,,Q
,,,,,8.0,,,,,,,,,,,T
