COMPACTNESS,CIRCULARITY,DISTANCE_CIRCULARITY,RADIUS_RATIO,PR_AXIS_ASPECT_RATIO,MAX_LENGTH_ASPECT_RATIO,SCATTER_RATIO,ELONGATEDNESS,PR_AXIS_RECTANGULARITY,MAX_LENGTH_RECTANGULARITY,SCALED_VARIANCE_MAJOR,SCALED_VARIANCE_MINOR,SCALED_RADIUS_OF_GYRATION,SKEWNESS_ABOUT_MAJOR,SKEWNESS_ABOUT_MINOR,KURTOSIS_ABOUT_MAJOR,KURTOSIS_ABOUT_MINOR,HOLLOWS_RATIO,class
,58.0,103.0,230.0,69.0,11.0,219.0,,,176.0,231.0,716.0,246.0,71.0,,,187.0,196.0,opel
,44.0,,,58.0,11.0,156.0,,20.0,157.0,166.0,349.0,176.0,74.0,5.0,17.0,,193.0,van
94.0,43.0,68.0,170.0,67.0,6.0,,46.0,18.0,142.0,164.0,,,65.0,10.0,8.0,,203.0,bus
,47.0,,161.0,,,155.0,43.0,19.0,157.0,,354.0,,76.0,2.0,9.0,184.0,196.0,van
112.0,,,,56.0,11.0,214.0,31.0,24.0,,,,,71.0,18.0,27.0,191.0,202.0,saab
91.0,,77.0,157.0,56.0,7.0,,42.0,19.0,,,361.0,123.0,65.0,,,195.0,201.0,saab
,43.0,69.0,,,,149.0,,19.0,143.0,170.0,333.0,168.0,,,18.0,,203.0,opel
,48.0,104.0,,63.0,,201.0,,23.0,,,,199.0,73.0,8.0,4.0,,197.0,saab
98.0,58.0,101.0,,,12.0,226.0,,25.0,182.0,225.0,748.0,216.0,71.0,6.0,1.0,,,opel
83.0,,54.0,,55.0,,129.0,,,,146.0,245.0,,,,,180.0,184.0,saab
91.0,,88.0,189.0,,9.0,175.0,,21.0,,197.0,,156.0,69.0,0.0,23.0,,198.0,saab
,,60.0,131.0,56.0,,,56.0,17.0,137.0,,209.0,153.0,65.0,10.0,8.0,193.0,199.0,van
89.0,35.0,,,58.0,,126.0,,,,147.0,,112.0,64.0,4.0,19.0,199.0,207.0,van
103.0,49.0,100.0,,60.0,,185.0,35.0,22.0,,,518.0,,62.0,13.0,8.0,,208.0,saab
80.0,45.0,,128.0,,,151.0,,19.0,147.0,,337.0,,,,,181.0,187.0,bus
86.0,42.0,,116.0,,,,45.0,19.0,141.0,175.0,,172.0,,5.0,4.0,,183.0,bus
,46.0,81.0,187.0,61.0,9.0,,,20.0,154.0,189.0,,175.0,,13.0,9.0,,207.0,saab
86.0,39.0,60.0,,,7.0,,,,134.0,140.0,212.0,141.0,,7.0,8.0,,207.0,van
83.0,37.0,62.0,,53.0,6.0,122.0,55.0,17.0,,143.0,218.0,135.0,,0.0,,181.0,185.0,van
,,68.0,,,5.0,,45.0,,144.0,,322.0,184.0,80.0,,0.0,181.0,,bus
93.0,47.0,,200.0,66.0,7.0,,,21.0,,197.0,452.0,205.0,66.0,0.0,,,,saab
91.0,43.0,88.0,157.0,,9.0,149.0,45.0,,157.0,165.0,326.0,,,1.0,,,,van
,45.0,80.0,162.0,,,146.0,,19.0,,161.0,316.0,161.0,64.0,5.0,10.0,199.0,,van
,,,179.0,51.0,,257.0,,,172.0,,,,,2.0,20.0,181.0,,bus
87.0,44.0,70.0,179.0,75.0,6.0,,,,,,326.0,178.0,69.0,6.0,1.0,194.0,201.0,bus
83.0,46.0,73.0,,,,,,19.0,146.0,167.0,327.0,183.0,75.0,,0.0,185.0,,bus
,41.0,,129.0,55.0,7.0,135.0,,,136.0,,266.0,,74.0,3.0,4.0,,,opel
,,109.0,225.0,68.0,,214.0,,24.0,169.0,226.0,675.0,212.0,68.0,11.0,,,,saab
,37.0,73.0,186.0,,,154.0,,19.0,127.0,171.0,,132.0,67.0,,8.0,197.0,206.0,bus
,44.0,,,,8.0,186.0,35.0,22.0,,,,,,,,,198.0,opel
82.0,,,,,,151.0,44.0,,,,,160.0,76.0,5.0,,185.0,,bus
,46.0,,125.0,57.0,,151.0,45.0,19.0,147.0,170.0,334.0,188.0,,9.0,,,184.0,bus
,53.0,110.0,231.0,,12.0,217.0,,24.0,165.0,231.0,,222.0,,16.0,,192.0,206.0,saab
89.0,,77.0,,52.0,,156.0,,20.0,,,351.0,177.0,,,17.0,,,van
,48.0,85.0,189.0,,,,,20.0,153.0,188.0,427.0,,,,,,,saab
,41.0,70.0,,65.0,7.0,144.0,,,,,309.0,147.0,71.0,4.0,12.0,188.0,,bus
88.0,43.0,,,55.0,11.0,154.0,44.0,19.0,150.0,,350.0,164.0,73.0,6.0,,185.0,196.0,van
,47.0,103.0,215.0,,,200.0,,23.0,147.0,,598.0,,,6.0,6.0,,194.0,opel
88.0,37.0,57.0,,62.0,,,50.0,,125.0,,265.0,,83.0,,,180.0,184.0,saab
98.0,,,130.0,55.0,7.0,,51.0,18.0,138.0,,251.0,123.0,,3.0,12.0,191.0,,van
,,81.0,,,,,44.0,,,200.0,347.0,,90.0,9.0,,,,van
87.0,42.0,76.0,159.0,,,,42.0,,138.0,,362.0,157.0,76.0,,12.0,189.0,,bus
,,63.0,139.0,,,132.0,50.0,18.0,,158.0,260.0,121.0,67.0,3.0,,,,van
,55.0,102.0,169.0,51.0,6.0,241.0,27.0,,,265.0,870.0,,84.0,10.0,11.0,184.0,183.0,bus
90.0,38.0,75.0,,64.0,,,43.0,19.0,131.0,168.0,345.0,139.0,,,,195.0,204.0,bus
98.0,,,207.0,,,,33.0,22.0,161.0,212.0,570.0,,75.0,,6.0,194.0,195.0,bus
,37.0,66.0,126.0,54.0,,132.0,52.0,18.0,127.0,148.0,,142.0,72.0,,7.0,,187.0,saab
,40.0,98.0,192.0,64.0,9.0,177.0,,21.0,135.0,194.0,465.0,165.0,,,,195.0,,saab
98.0,,,,61.0,6.0,172.0,37.0,,,,457.0,141.0,72.0,4.0,17.0,,,bus
106.0,53.0,,193.0,60.0,10.0,,,24.0,169.0,,681.0,218.0,73.0,8.0,21.0,,,saab
93.0,43.0,,166.0,,,151.0,44.0,19.0,141.0,,342.0,,,15.0,2.0,193.0,197.0,opel
,37.0,72.0,193.0,72.0,6.0,158.0,41.0,,133.0,184.0,,,70.0,0.0,14.0,200.0,,bus
89.0,,68.0,,60.0,8.0,,50.0,18.0,,,265.0,119.0,,,,201.0,,van
85.0,,,130.0,,8.0,151.0,45.0,19.0,,171.0,,,79.0,,,181.0,186.0,bus
86.0,45.0,73.0,152.0,,,149.0,,19.0,145.0,,,176.0,71.0,6.0,1.0,189.0,196.0,bus
,,,,61.0,,,32.0,24.0,153.0,227.0,635.0,,,5.0,28.0,190.0,203.0,saab
,,103.0,,57.0,11.0,,31.0,24.0,162.0,217.0,676.0,,66.0,,,189.0,,opel
,,,197.0,,10.0,,,22.0,161.0,210.0,553.0,,,,3.0,196.0,,opel
109.0,48.0,,,62.0,,,32.0,23.0,158.0,222.0,624.0,,65.0,9.0,,195.0,206.0,opel
,50.0,,,61.0,10.0,181.0,,21.0,158.0,,,220.0,,6.0,19.0,191.0,,saab
93.0,,,142.0,56.0,,,43.0,,155.0,180.0,364.0,188.0,,1.0,,184.0,,van
82.0,,70.0,155.0,,7.0,,,19.0,138.0,172.0,328.0,,72.0,,,187.0,,bus
96.0,52.0,104.0,,,9.0,,,23.0,,,589.0,226.0,67.0,,20.0,192.0,201.0,opel
90.0,42.0,63.0,126.0,55.0,,,,,142.0,,336.0,173.0,81.0,0.0,15.0,180.0,,bus
,40.0,,,49.0,7.0,,52.0,18.0,,,,156.0,,8.0,,,,van
91.0,41.0,66.0,,56.0,9.0,126.0,,18.0,,159.0,,155.0,,,,191.0,,van
,45.0,,,,10.0,187.0,36.0,,150.0,202.0,,,64.0,7.0,,198.0,211.0,saab
,,51.0,111.0,54.0,,,,17.0,127.0,138.0,213.0,147.0,,7.0,,181.0,,van
102.0,,,,60.0,,220.0,,25.0,162.0,247.0,731.0,209.0,80.0,,,188.0,186.0,bus
,54.0,100.0,220.0,,10.0,,,25.0,170.0,,718.0,202.0,73.0,,,,199.0,saab
,,109.0,194.0,56.0,6.0,260.0,,28.0,,,,261.0,85.0,11.0,,182.0,,bus
,,65.0,127.0,56.0,8.0,,,19.0,,,,171.0,,6.0,,,,bus
98.0,,96.0,203.0,66.0,,188.0,,22.0,,,533.0,231.0,68.0,10.0,1.0,191.0,199.0,saab
94.0,38.0,88.0,,60.0,,,39.0,,131.0,188.0,,144.0,66.0,2.0,28.0,195.0,,saab
,,63.0,,54.0,,151.0,45.0,19.0,147.0,166.0,329.0,,81.0,3.0,4.0,,182.0,bus
106.0,,96.0,,,10.0,181.0,36.0,21.0,,,494.0,,,,,,209.0,opel
,44.0,82.0,,54.0,6.0,,45.0,19.0,,170.0,,168.0,,,14.0,,193.0,opel
,43.0,88.0,,66.0,9.0,150.0,45.0,,147.0,164.0,334.0,,,2.0,,,,van
,38.0,,,59.0,7.0,161.0,41.0,,,186.0,,,68.0,5.0,,,,saab
,44.0,78.0,160.0,63.0,8.0,,47.0,,148.0,160.0,,171.0,63.0,19.0,,,207.0,van
,,96.0,188.0,59.0,9.0,,35.0,22.0,,,,205.0,67.0,,,193.0,,opel
99.0,,109.0,220.0,66.0,11.0,221.0,,,176.0,234.0,725.0,,,10.0,,,200.0,opel
86.0,42.0,65.0,125.0,54.0,7.0,150.0,45.0,19.0,,171.0,327.0,172.0,85.0,2.0,8.0,180.0,182.0,bus
,,,184.0,55.0,,234.0,28.0,26.0,171.0,243.0,822.0,,77.0,,11.0,187.0,,bus
109.0,,,,,,,,,,,,213.0,71.0,,14.0,187.0,,saab
89.0,44.0,76.0,125.0,54.0,,156.0,44.0,20.0,151.0,,352.0,,76.0,,12.0,,,van
99.0,,88.0,188.0,62.0,5.0,,32.0,23.0,158.0,222.0,625.0,219.0,,8.0,,,190.0,bus
97.0,45.0,,161.0,,,151.0,45.0,19.0,,,,,65.0,,,,205.0,van
,,73.0,158.0,,7.0,,,19.0,138.0,175.0,341.0,152.0,73.0,,8.0,190.0,194.0,bus
89.0,,72.0,155.0,63.0,7.0,,45.0,19.0,,175.0,,145.0,72.0,4.0,10.0,192.0,196.0,bus
,,75.0,,,,140.0,48.0,,,,,,72.0,,21.0,,190.0,opel
,37.0,54.0,,,4.0,,50.0,18.0,,,,141.0,,,6.0,180.0,183.0,saab
102.0,54.0,101.0,190.0,,,222.0,,,,,,,,13.0,6.0,189.0,198.0,opel
99.0,,,219.0,68.0,,224.0,30.0,,178.0,228.0,,213.0,74.0,11.0,20.0,187.0,196.0,opel
,,,188.0,57.0,7.0,,28.0,26.0,,,,,81.0,6.0,,185.0,185.0,bus
117.0,52.0,110.0,228.0,,,,,,163.0,,668.0,220.0,66.0,,,,205.0,saab
,,,,59.0,6.0,151.0,44.0,19.0,,,343.0,177.0,,,,,208.0,opel
95.0,,84.0,158.0,,10.0,145.0,,19.0,,163.0,312.0,166.0,64.0,10.0,6.0,199.0,,van
89.0,40.0,,,58.0,,,50.0,,,,,151.0,61.0,16.0,6.0,,,opel
97.0,46.0,101.0,210.0,,8.0,192.0,35.0,22.0,151.0,,546.0,,66.0,1.0,32.0,,200.0,opel
,38.0,58.0,137.0,60.0,,,46.0,19.0,131.0,163.0,319.0,157.0,86.0,12.0,,180.0,,saab
91.0,46.0,78.0,,,9.0,,45.0,,,,323.0,199.0,,,11.0,,,van
,,69.0,,64.0,,151.0,44.0,19.0,,171.0,340.0,195.0,75.0,,0.0,183.0,188.0,bus
98.0,,90.0,192.0,63.0,,177.0,,21.0,,,,197.0,65.0,10.0,1.0,193.0,201.0,saab
93.0,42.0,,,62.0,10.0,183.0,36.0,,141.0,208.0,504.0,,70.0,,,189.0,,opel
91.0,45.0,76.0,,,7.0,150.0,44.0,19.0,144.0,170.0,340.0,,,,,195.0,201.0,bus
,49.0,109.0,193.0,59.0,10.0,,32.0,24.0,156.0,,635.0,213.0,70.0,13.0,31.0,191.0,202.0,saab
87.0,,82.0,164.0,,,156.0,42.0,19.0,144.0,181.0,366.0,,70.0,2.0,,190.0,,opel
100.0,,,206.0,63.0,9.0,186.0,,22.0,,,519.0,,,3.0,5.0,197.0,205.0,opel
108.0,52.0,109.0,182.0,55.0,12.0,,31.0,24.0,,229.0,687.0,,,,,189.0,201.0,saab
,46.0,105.0,,,,,34.0,23.0,,,578.0,,,,,,205.0,saab
,,81.0,,,7.0,,39.0,20.0,152.0,196.0,,185.0,,,4.0,,,saab
,,85.0,,58.0,10.0,153.0,44.0,,151.0,175.0,,,,,,186.0,197.0,van
,45.0,,153.0,,7.0,154.0,44.0,,145.0,,350.0,,75.0,15.0,14.0,184.0,189.0,opel
108.0,54.0,,203.0,62.0,11.0,202.0,33.0,23.0,,,608.0,,68.0,12.0,,,200.0,saab
90.0,47.0,85.0,149.0,,10.0,155.0,43.0,19.0,,,,186.0,75.0,,5.0,185.0,196.0,van
82.0,37.0,59.0,,,7.0,135.0,51.0,,,,264.0,143.0,,,24.0,,185.0,saab
,45.0,,148.0,64.0,,146.0,46.0,,,168.0,317.0,180.0,75.0,,1.0,183.0,187.0,bus
89.0,,,,57.0,8.0,161.0,41.0,,149.0,,,197.0,72.0,,15.0,187.0,,opel
96.0,,,177.0,64.0,,,36.0,21.0,134.0,205.0,485.0,,,0.0,4.0,,198.0,bus
97.0,,,,71.0,,,,,,178.0,,186.0,,,,,203.0,bus
,,,,64.0,9.0,,,,,,,182.0,68.0,1.0,13.0,192.0,202.0,van
96.0,47.0,77.0,,72.0,,167.0,,,150.0,,429.0,182.0,,6.0,,199.0,203.0,bus
87.0,,,117.0,,4.0,118.0,,,,138.0,205.0,138.0,,9.0,15.0,,,van
,52.0,95.0,189.0,,,,,,158.0,,,217.0,82.0,0.0,,187.0,,bus
104.0,51.0,108.0,193.0,,11.0,217.0,31.0,24.0,163.0,,694.0,203.0,,15.0,22.0,190.0,201.0,saab
87.0,,,132.0,57.0,6.0,128.0,,18.0,129.0,154.0,243.0,132.0,71.0,,14.0,,192.0,saab
,,54.0,,,7.0,,,18.0,,146.0,229.0,128.0,78.0,1.0,5.0,180.0,184.0,saab
,,98.0,,64.0,11.0,217.0,31.0,24.0,,225.0,696.0,216.0,,2.0,19.0,188.0,,opel
,39.0,60.0,,56.0,,,49.0,18.0,,151.0,281.0,142.0,80.0,0.0,,,,opel
106.0,54.0,100.0,,67.0,4.0,250.0,27.0,,162.0,,923.0,262.0,,,,,182.0,bus
81.0,46.0,71.0,141.0,,7.0,,,19.0,,,347.0,190.0,80.0,1.0,14.0,182.0,187.0,bus
100.0,,,224.0,,9.0,217.0,,,162.0,,,206.0,,,18.0,189.0,199.0,opel
88.0,,71.0,145.0,56.0,8.0,142.0,,,143.0,159.0,296.0,174.0,,7.0,,,,opel
,49.0,,,64.0,10.0,,,20.0,158.0,,,203.0,75.0,,,183.0,194.0,van
,43.0,,195.0,63.0,8.0,,,,144.0,210.0,,166.0,,6.0,13.0,191.0,,saab
,,,,,9.0,152.0,44.0,19.0,,175.0,345.0,184.0,,4.0,,186.0,197.0,van
,47.0,,333.0,138.0,49.0,,,19.0,155.0,,,,135.0,,9.0,,196.0,van
100.0,,107.0,207.0,,11.0,227.0,,25.0,,,756.0,205.0,,,,186.0,198.0,opel
86.0,,65.0,113.0,,8.0,152.0,,19.0,141.0,,,171.0,,4.0,16.0,179.0,183.0,bus
91.0,38.0,,,,,,47.0,18.0,,,,130.0,67.0,4.0,11.0,192.0,,van
93.0,,90.0,,65.0,10.0,,44.0,19.0,,170.0,,143.0,,,17.0,,203.0,van
86.0,,75.0,165.0,,,154.0,43.0,19.0,146.0,,356.0,190.0,74.0,,,188.0,194.0,bus
90.0,49.0,83.0,187.0,63.0,,,,,154.0,205.0,467.0,,70.0,1.0,2.0,189.0,,saab
97.0,,76.0,169.0,60.0,,161.0,,,,189.0,,136.0,72.0,,,188.0,192.0,opel
,,106.0,177.0,,5.0,256.0,,28.0,,285.0,966.0,261.0,87.0,11.0,,182.0,181.0,bus
,,75.0,162.0,66.0,5.0,,43.0,19.0,136.0,,,,72.0,,0.0,,,bus
98.0,,70.0,186.0,,6.0,,,20.0,136.0,,413.0,129.0,71.0,,17.0,200.0,203.0,bus
,42.0,64.0,150.0,64.0,,,50.0,,,,265.0,,67.0,,,193.0,,van
,,108.0,,,,206.0,32.0,23.0,163.0,216.0,627.0,202.0,65.0,21.0,22.0,194.0,,saab
85.0,,80.0,158.0,59.0,,153.0,44.0,19.0,,179.0,348.0,136.0,69.0,,,191.0,197.0,opel
,52.0,105.0,,,10.0,212.0,31.0,,163.0,226.0,669.0,204.0,,,11.0,186.0,194.0,opel
,39.0,77.0,160.0,62.0,8.0,,,,150.0,,294.0,124.0,62.0,,,,,van
,48.0,101.0,204.0,62.0,12.0,,33.0,23.0,158.0,215.0,595.0,164.0,66.0,8.0,22.0,,,opel
88.0,40.0,73.0,,68.0,,150.0,,,137.0,174.0,341.0,151.0,69.0,,20.0,,200.0,bus
,38.0,64.0,,,,,51.0,18.0,126.0,152.0,259.0,135.0,76.0,,23.0,179.0,,opel
91.0,38.0,75.0,,,,144.0,47.0,19.0,131.0,,305.0,149.0,,,,,191.0,saab
86.0,45.0,,155.0,66.0,7.0,146.0,,19.0,,167.0,,176.0,72.0,5.0,6.0,189.0,196.0,bus
,,86.0,175.0,60.0,9.0,170.0,39.0,,134.0,,,138.0,68.0,,28.0,191.0,,saab
89.0,,,188.0,,,161.0,41.0,,151.0,,390.0,,66.0,4.0,,,201.0,saab
,36.0,,116.0,56.0,4.0,120.0,57.0,17.0,124.0,,,135.0,84.0,1.0,12.0,,184.0,opel
80.0,43.0,,133.0,60.0,7.0,150.0,45.0,,146.0,,330.0,,81.0,6.0,15.0,180.0,,bus
88.0,36.0,,,,,140.0,48.0,18.0,123.0,161.0,,129.0,66.0,,,,202.0,opel
,45.0,,133.0,,11.0,,43.0,,,170.0,362.0,,,,21.0,183.0,,van
,,108.0,184.0,,,216.0,31.0,,172.0,220.0,,,68.0,4.0,24.0,190.0,201.0,opel
,,70.0,158.0,,6.0,141.0,47.0,18.0,,164.0,,173.0,66.0,9.0,,,199.0,bus
,36.0,74.0,183.0,,,149.0,43.0,19.0,,178.0,341.0,,69.0,0.0,,,,bus
,,70.0,169.0,,7.0,,,19.0,,177.0,341.0,,76.0,6.0,,184.0,187.0,bus
,,72.0,144.0,56.0,6.0,133.0,50.0,18.0,123.0,158.0,,,,,20.0,,206.0,saab
96.0,,58.0,117.0,51.0,6.0,133.0,,,139.0,,255.0,150.0,,6.0,,,,van
98.0,48.0,101.0,195.0,61.0,11.0,207.0,,,152.0,,,,71.0,5.0,7.0,,,opel
90.0,34.0,66.0,158.0,,7.0,,47.0,18.0,124.0,165.0,,,,,3.0,201.0,207.0,saab
,45.0,,,,7.0,,,19.0,,169.0,,186.0,,,,181.0,,bus
,41.0,93.0,,,9.0,,36.0,,,,,153.0,,11.0,24.0,193.0,,opel
,36.0,,142.0,,7.0,135.0,50.0,18.0,126.0,,266.0,,66.0,,,,203.0,opel
106.0,,98.0,203.0,63.0,,220.0,,,167.0,228.0,710.0,,,10.0,,188.0,,opel
86.0,38.0,89.0,,,,169.0,,,132.0,190.0,428.0,148.0,,7.0,,,202.0,opel
,,104.0,197.0,58.0,11.0,208.0,32.0,24.0,,,639.0,186.0,67.0,15.0,22.0,,202.0,saab
84.0,37.0,,145.0,62.0,,136.0,48.0,,134.0,159.0,,140.0,,11.0,9.0,194.0,,van
,53.0,108.0,,61.0,11.0,,31.0,,,226.0,,,,0.0,9.0,,201.0,saab
,,91.0,,,5.0,202.0,32.0,23.0,,,629.0,186.0,,,11.0,192.0,,bus
84.0,,83.0,,,7.0,,,,,177.0,,149.0,74.0,6.0,29.0,185.0,191.0,saab
,,,,,,,45.0,,,177.0,,172.0,82.0,10.0,14.0,181.0,185.0,bus
,51.0,,168.0,54.0,10.0,,,24.0,162.0,220.0,641.0,221.0,72.0,,20.0,,197.0,saab
,37.0,68.0,,60.0,,130.0,51.0,18.0,,,253.0,121.0,65.0,3.0,14.0,195.0,,van
93.0,42.0,,123.0,,,135.0,,18.0,144.0,,262.0,155.0,,,12.0,,,van
,,71.0,131.0,,,,45.0,19.0,134.0,,330.0,165.0,80.0,,1.0,180.0,,opel
,49.0,86.0,,63.0,,,37.0,,156.0,203.0,,201.0,67.0,7.0,,,198.0,opel
98.0,,109.0,202.0,,11.0,199.0,,,,207.0,586.0,,,,33.0,194.0,,saab
101.0,51.0,,,60.0,,,34.0,22.0,,,572.0,,,0.0,10.0,192.0,201.0,saab
,47.0,73.0,136.0,58.0,11.0,161.0,42.0,20.0,153.0,172.0,,185.0,,11.0,8.0,,191.0,van
91.0,,60.0,,,6.0,119.0,56.0,17.0,,139.0,211.0,118.0,,6.0,14.0,,198.0,van
99.0,50.0,88.0,204.0,64.0,10.0,,35.0,,,209.0,,193.0,,,11.0,,201.0,opel
,,101.0,,72.0,4.0,238.0,,,163.0,267.0,,,85.0,,,,,bus
,46.0,,135.0,,,157.0,,20.0,158.0,170.0,356.0,,,12.0,3.0,,191.0,van
101.0,,,,62.0,9.0,,35.0,22.0,,,527.0,,,14.0,15.0,,,saab
95.0,,,228.0,74.0,,,31.0,24.0,175.0,224.0,670.0,,74.0,0.0,4.0,,,opel
101.0,53.0,91.0,194.0,65.0,6.0,204.0,32.0,23.0,161.0,231.0,636.0,214.0,78.0,5.0,14.0,,,bus
91.0,39.0,,,,10.0,,,,,164.0,308.0,,68.0,,9.0,191.0,,van
,46.0,75.0,,75.0,,154.0,42.0,19.0,147.0,,362.0,,72.0,8.0,,,199.0,bus
94.0,37.0,74.0,,,,162.0,,20.0,133.0,178.0,394.0,,,,6.0,198.0,,opel
,,,,62.0,,161.0,,20.0,135.0,,388.0,,,,,197.0,206.0,opel
95.0,,,,,,,45.0,,,169.0,322.0,171.0,67.0,8.0,4.0,195.0,200.0,bus
,52.0,101.0,213.0,64.0,11.0,201.0,,23.0,158.0,214.0,,204.0,65.0,2.0,,192.0,,saab
81.0,43.0,,,62.0,,,46.0,,,172.0,323.0,171.0,83.0,,,180.0,,bus
,43.0,70.0,124.0,52.0,6.0,,49.0,18.0,144.0,164.0,282.0,,79.0,4.0,,,185.0,van
,45.0,73.0,,68.0,8.0,142.0,46.0,18.0,144.0,169.0,,,,10.0,3.0,,199.0,van
103.0,57.0,105.0,221.0,,11.0,218.0,,,173.0,226.0,706.0,250.0,73.0,10.0,2.0,,195.0,opel
98.0,42.0,90.0,192.0,61.0,,178.0,37.0,21.0,,189.0,,138.0,61.0,3.0,8.0,,,saab
,41.0,62.0,147.0,,6.0,,,18.0,,,246.0,,61.0,,4.0,201.0,,van
,,107.0,211.0,62.0,,200.0,33.0,23.0,161.0,218.0,602.0,200.0,,,,,201.0,opel
,,,,64.0,8.0,,39.0,,150.0,,426.0,182.0,,,2.0,192.0,198.0,opel
85.0,40.0,66.0,121.0,52.0,4.0,,,19.0,133.0,170.0,340.0,163.0,87.0,,,180.0,,opel
,49.0,,206.0,70.0,6.0,,35.0,,156.0,206.0,517.0,198.0,73.0,,,,199.0,bus
,43.0,71.0,154.0,68.0,7.0,,45.0,,143.0,171.0,330.0,173.0,78.0,,11.0,181.0,186.0,bus
78.0,,,,65.0,,147.0,,,145.0,169.0,319.0,168.0,,1.0,12.0,181.0,186.0,bus
96.0,54.0,104.0,,,10.0,,31.0,24.0,,221.0,,,,13.0,23.0,,,opel
105.0,51.0,,201.0,62.0,11.0,220.0,,25.0,163.0,,711.0,,,12.0,16.0,,200.0,saab
,40.0,,144.0,59.0,8.0,127.0,52.0,,139.0,,241.0,150.0,,,1.0,204.0,,van
,,,,,,137.0,,,146.0,,,,72.0,1.0,9.0,188.0,,van
104.0,,,230.0,,12.0,218.0,30.0,,174.0,,706.0,226.0,67.0,,22.0,191.0,202.0,opel
,,,173.0,54.0,,,,,,254.0,,206.0,83.0,,12.0,186.0,184.0,bus
107.0,56.0,,202.0,61.0,,221.0,30.0,,179.0,234.0,725.0,,,,1.0,189.0,,opel
82.0,,73.0,141.0,,8.0,153.0,,19.0,133.0,173.0,342.0,153.0,,11.0,9.0,,187.0,opel
,55.0,104.0,,,9.0,,,24.0,,222.0,658.0,223.0,74.0,,,186.0,,saab
101.0,,101.0,183.0,57.0,13.0,,30.0,25.0,177.0,,741.0,204.0,71.0,5.0,10.0,186.0,198.0,opel
89.0,,,150.0,63.0,11.0,160.0,,20.0,160.0,,367.0,176.0,73.0,,,185.0,194.0,van
,45.0,89.0,213.0,,,186.0,35.0,22.0,145.0,204.0,533.0,,,,13.0,195.0,198.0,bus
,,64.0,,54.0,6.0,,,19.0,,,,171.0,87.0,1.0,3.0,,182.0,bus
104.0,55.0,100.0,201.0,,,,31.0,,173.0,224.0,,221.0,,1.0,,,,saab
,54.0,,,67.0,,218.0,31.0,24.0,,,697.0,196.0,74.0,,21.0,,196.0,opel
94.0,,79.0,,,,167.0,40.0,20.0,,190.0,418.0,193.0,,12.0,,191.0,198.0,opel
86.0,,,143.0,,,142.0,47.0,,,,301.0,,71.0,5.0,10.0,,196.0,van
90.0,48.0,78.0,143.0,60.0,11.0,,,,159.0,172.0,,186.0,75.0,2.0,2.0,184.0,193.0,van
,46.0,71.0,,,,151.0,44.0,,147.0,,,198.0,,3.0,11.0,181.0,,bus
104.0,57.0,103.0,222.0,72.0,,221.0,,25.0,177.0,223.0,718.0,218.0,72.0,,12.0,,195.0,opel
93.0,,,,,7.0,,,,147.0,180.0,383.0,,70.0,,11.0,192.0,,saab
,39.0,,,54.0,7.0,153.0,45.0,19.0,,,338.0,,71.0,11.0,18.0,183.0,189.0,opel
102.0,51.0,,193.0,57.0,10.0,212.0,31.0,24.0,,219.0,,,66.0,,21.0,191.0,201.0,opel
108.0,,109.0,189.0,57.0,,220.0,31.0,25.0,174.0,229.0,,214.0,70.0,12.0,23.0,189.0,,saab
,,76.0,175.0,60.0,9.0,,,20.0,,180.0,370.0,,63.0,,12.0,198.0,,saab
,,,130.0,,,151.0,,,,,333.0,168.0,,4.0,,,183.0,bus
102.0,,98.0,177.0,56.0,10.0,,,25.0,171.0,219.0,,223.0,72.0,,,186.0,,opel
106.0,,,164.0,48.0,,,27.0,27.0,,269.0,891.0,243.0,,12.0,,,182.0,bus
94.0,45.0,72.0,179.0,69.0,6.0,,41.0,19.0,,181.0,373.0,191.0,69.0,5.0,5.0,,,bus
106.0,,98.0,,,11.0,215.0,31.0,24.0,,,,214.0,,2.0,29.0,189.0,,opel
94.0,43.0,,136.0,,10.0,,,19.0,,176.0,359.0,161.0,,1.0,6.0,186.0,197.0,van
,36.0,53.0,113.0,57.0,3.0,118.0,57.0,17.0,128.0,,,,,7.0,14.0,180.0,183.0,van
102.0,54.0,98.0,167.0,53.0,,217.0,,,,228.0,,223.0,,0.0,31.0,187.0,198.0,opel
,56.0,100.0,,62.0,12.0,,,,178.0,,,,73.0,,,,,opel
105.0,,96.0,185.0,57.0,10.0,,,25.0,170.0,231.0,,,,,,187.0,,opel
86.0,36.0,,128.0,,8.0,131.0,52.0,18.0,127.0,148.0,252.0,139.0,76.0,,27.0,,187.0,opel
91.0,,,,,7.0,,46.0,,132.0,170.0,,,,9.0,,,189.0,saab
97.0,46.0,94.0,,67.0,10.0,195.0,,22.0,147.0,224.0,573.0,194.0,70.0,0.0,14.0,188.0,197.0,opel
,53.0,100.0,205.0,64.0,,,30.0,25.0,166.0,229.0,710.0,214.0,71.0,21.0,11.0,189.0,,saab
,51.0,,,,11.0,,,24.0,162.0,223.0,,,,,,,,saab
93.0,,78.0,162.0,60.0,8.0,150.0,,19.0,125.0,172.0,,,,,33.0,191.0,,opel
,46.0,,159.0,63.0,11.0,160.0,42.0,20.0,157.0,176.0,372.0,171.0,70.0,7.0,,189.0,200.0,van
