loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,lOCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,class
,1.0,,,11.0,,0.22,4.5,7.33,,,8.25,4.0,,,,,,,,1.0,no
,,1.0,,,8.0,,1.5,5.33,,,,,,,,,,,,1.0,no
6.0,,,1.0,,,0.5,2.0,,,,,,,,,,,5.0,,1.0,no
,,,,,,0.67,,,,,,,,0.0,,,2.0,,,,no
46.0,,,,,,0.07,13.48,,9534.06,,529.67,,,,,14.0,,,,17.0,no
,,,3.0,,,0.12,,,1857.35,,,15.0,0.0,,0.0,,11.0,,,7.0,no
,,,,,,,23.57,,,0.28,,,,,,,,,,,no
13.0,2.0,,,33.0,,,,13.49,,,,,,,,,7.0,,,3.0,no
,,,3.0,,257.83,,,,,,,,0.0,,,,,,,,no
11.0,,,,,,,7.0,,451.71,,25.09,,,1.0,,,,,,,no
,,1.0,2.0,,,,,13.39,,,,,,,,,,,,3.0,no
,,,,,,,,,,,,,,2.0,,,,,,5.0,no
,,,,,594.54,,,,,,438.73,,,,,,23.0,,47.0,9.0,no
5.0,2.0,,,,,,,,,,,,,,,,,,6.0,,no
,,,,,,,,,5968.63,,331.59,,0.0,,,10.0,21.0,,,,no
,,,4.0,,403.82,,,,3589.49,,199.42,,0.0,,,,,52.0,,7.0,no
,,,,,579.03,0.09,11.25,,,,,,0.0,5.0,,12.0,,,,7.0,no
2.0,,,1.0,4.0,,,,,,,,,,0.0,,,,,1.0,,no
,,,,,44.38,,,,,,,6.0,,,0.0,,,7.0,,,no
,,1.0,1.0,,,,,,,,0.67,,0.0,,0.0,3.0,,,1.0,,no
,,,,,,,,,,,,,,,,3.0,,,,,no
,,,,,,,,,,,,,1.0,,0.0,,11.0,,,,no
,1.0,,,4.0,,,1.5,,,,,0.0,0.0,,,,,3.0,,,no
,,1.0,,,,,,,164.84,,9.16,,,,,,3.0,,,,no
9.0,,,,,,,4.0,,,,,,,2.0,,6.0,,,4.0,,no
,,,,,,,,,,,,,1.0,,,15.0,,,,,no
,,,,9.0,,0.67,,,,,,,,,,,4.0,,,,no
,,1.0,,5.0,,,,,,,,,,,,3.0,,3.0,,,no
,,,,,,,,,,,,,0.0,,,,,,,,no
,8.0,,,,,,,55.52,,,,,2.0,,,,,,,,no
16.0,,3.0,,51.0,,,,,,,,13.0,,,,,,,22.0,,no
,,,1.0,,,,2.5,,,,,,0.0,,0.0,,1.0,,,1.0,no
,,1.0,,,657.86,,19.41,,12771.12,0.22,,,,10.0,4.0,,,,,19.0,no
,30.0,16.0,,391.0,,,,,,,3739.18,,,10.0,2.0,,39.0,255.0,,59.0,yes
,21.0,,,,,,,,,,,98.0,,,,,,,169.0,,yes
,,,,,,,,,42927.97,,,104.0,,,2.0,,,,,,yes
,,16.0,,,2062.01,,,,46254.62,0.69,,,,,0.0,,,,,35.0,yes
,180.0,,143.0,,,,,,,,,,39.0,121.0,,,,,,,yes
,,,,,,,27.83,,,,,,,,,,,,,,yes
,,,,,,,,,,,3051.36,,,12.0,,,,,,,yes
517.0,,,,,9699.46,,,180.39,,,28974.36,,44.0,,6.0,,,,542.0,171.0,yes
,14.0,,,254.0,,,,73.84,26351.11,,1463.95,80.0,4.0,,0.0,,,,,,yes
102.0,,,10.0,,1699.72,,,61.3,,0.57,,,4.0,,,,,,,,yes
,,,,213.0,,,,,,,,,,,,,32.0,,,,yes
,24.0,,,,,,,,,,,,,,,,,359.0,,,yes
,,6.0,,,,,,,,,,,,,,,,,,,yes
,,,,273.0,1571.08,,,62.74,,0.52,2185.6,,,,,,,164.0,,,yes
,9.0,,,,,,,,21673.32,,,,3.0,,,,,110.0,,,yes
,,,,,,,,,6555.88,,,36.0,1.0,8.0,,23.0,,,,,yes
,,,,,,,,,,,,,,13.0,,24.0,,,,51.0,yes
140.0,,,,,,,43.8,,,,,115.0,,,,,,,,,yes
,,,5.0,,,,18.0,,,,,,,,,12.0,,,,,yes
,,,5.0,213.0,1202.14,,,,,,1091.13,,,,,,,120.0,,,yes
,,7.0,,194.0,,,,,,,,49.0,,,0.0,18.0,,,,,yes
,,,,159.0,,0.06,,52.92,14407.88,,,,,,0.0,,,,,,yes
,,,,,,,,,11442.12,0.2,,,,,,,,,,,yes
,,,,110.0,,0.05,,,,,,,,,,,,,,17.0,yes
,,,,,985.79,,,,,,,44.0,,,,,,,,,yes
,,,,,,,17.28,,,,,,2.0,,,,25.0,,,,yes
57.0,,8.0,,,785.1,,13.07,60.06,,,,,,6.0,,9.0,,,,15.0,yes
,,,,,,,,,,,,,,,,15.0,,64.0,,,yes
,12.0,10.0,,313.0,,,,,,,,,,,,16.0,,,,,yes
,,,,,,,15.29,,10402.41,,,,,,0.0,,,,,,yes
,,8.0,,,,,,,271767.2,,15098.18,,29.0,,,,,,,,yes
,,,,,,,12.48,,,,480.38,,6.0,9.0,0.0,12.0,,,,13.0,yes
,,4.0,6.0,,,,13.82,,,,,,3.0,,,,,,35.0,,yes
,,4.0,,,1900.27,,,,,,,,,,,,,,,,yes
99.0,,5.0,,162.0,,,,,,,,,,,,,,,113.0,,yes
,,1.0,,,,,,,,,7727.6,137.0,,,,,,,,45.0,yes
,,,,,,,,,,,,75.0,,,0.0,16.0,,,101.0,39.0,yes
,,,4.0,,,0.05,,,,0.23,,,,,,,20.0,,52.0,,yes
,,,,,,,,,,0.13,,24.0,12.0,,0.0,,,,,,yes
,,5.0,,,,,,,,,2864.52,,,,,,,207.0,,,yes
,,,,,,,,57.08,,0.49,,,,,,,38.0,,,,yes
,87.0,,,1886.0,14068.49,,64.05,219.66,901039.76,,,,,,6.0,,,1147.0,,,yes
,,,,,707.2,,,,,,,,,,,,,,,,yes
42.0,3.0,,,,,,,,,,,,,,,,,,,,yes
,,,,,,,,,,0.13,,,,,1.0,,19.0,,,,yes
,,,,,,,,,,,4396.46,91.0,4.0,22.0,0.0,,40.0,,,,yes
,8.0,,,,,,,,,,,,,,,,,132.0,,15.0,yes
,,,,184.0,1016.34,,,,,0.34,,,,9.0,,21.0,,,,19.0,yes
,,,,,1122.94,,23.23,,,,,,,,,,,,,,yes
36.0,,,,103.0,,0.09,,,,0.18,,26.0,0.0,,,,27.0,,,,yes
,14.0,,,,,,25.05,90.25,,0.75,,,,21.0,,,55.0,219.0,,,yes
,,,,175.0,,,20.34,,,,,,,,,,,108.0,,21.0,yes
,,,4.0,,,,,,,,,,,,,,,,,,yes
,,5.0,,,,,,,48102.42,0.72,,,,,,,,,142.0,,yes
,,,,,,,,,,,,,,,,,,,,11.0,yes
,,,,,,,,,,,,,,16.0,,,40.0,154.0,,,yes
,6.0,,,,,,,,,,,,,,0.0,,,47.0,,,yes
63.0,,,,,,0.06,,,,,,,,,,,,89.0,,,yes
61.0,,,,,,,,,,,,,,,0.0,14.0,,,,,yes
58.0,,1.0,3.0,140.0,,,,46.06,,0.25,,44.0,,,,,,,,,yes
,,8.0,,,,,20.44,76.27,,,1770.26,,,,,,42.0,164.0,,,yes
,,,,426.0,,,,,,,,,,16.0,,,61.0,,177.0,63.0,yes
,,1.0,,,,,,42.07,,0.24,,,,,0.0,,,,54.0,7.0,yes
,,,,687.0,4305.28,0.02,,,,,,,3.0,,,17.0,,,,,yes
,,,,162.0,,,,,,,,53.0,1.0,,,,,,,,yes
,1.0,,,,175.69,,,33.59,919.01,,,,,,,,,,,,yes
,,,2.0,,2050.0,,,,,,3553.33,87.0,1.0,,,,40.0,,156.0,,yes
227.0,,,16.0,,3869.14,0.03,,,116627.07,,6479.28,,,,,,,,,,yes
45.0,,1.0,,,,0.04,,49.67,,,,,2.0,,1.0,,,,,,yes
,,,,348.0,,,,89.13,,,,,2.0,,5.0,,,,,,yes
,,,,,326.98,,,,3635.21,,,,12.0,7.0,,,,,27.0,,yes
,,,3.0,,380.55,,,,,,174.42,,,,0.0,8.0,,,,,yes
,,,,,,,,,,,,,,9.0,0.0,,,61.0,45.0,,yes
,,,,89.0,,0.08,,31.49,,,,,,,,,,,,,yes
,,,,,949.05,,21.54,44.06,,,,50.0,4.0,,,,,,,,yes
,,,,,,,,40.86,,0.16,,,,,,11.0,17.0,,,,yes
,,,,,,,,,,,,,,,,,,,,,yes
,4.0,,4.0,,,,16.67,,,,,,,,,12.0,,,,,yes
,,,,,712.97,,16.25,43.88,,,,,,,1.0,,,,,,yes
,6.0,,,,,,,,7559.96,0.15,,27.0,,,,18.0,,,32.0,,yes
,2.0,1.0,,,,,,,222.69,0.02,,,0.0,,,8.0,,,22.0,,yes
88.0,10.0,,,,,,,,,,,,,,,,,,78.0,,yes
,,,,,,0.11,,,,,,,,7.0,,,,,,1.0,yes
,,,2.0,,142.62,,,24.9,816.84,,,,0.0,,,,,,,,yes
,,,,,307.71,,,,2900.15,,,,,,0.0,,,,,,yes
,,,3.0,,189.99,,,,1242.24,,,,,,,10.0,,,,,yes
81.0,,,,,,,,49.93,,,1437.93,,,,,17.0,,,75.0,,yes
13.0,,,,,,,,,,0.04,,,,,,,,18.0,,,yes
37.0,2.0,,2.0,,,,,,,,,26.0,,,,,,,,,yes
,,,,,110.36,,4.2,,,,,,,,,,,,,,yes
,,,,,,,,,,,,,,,,,,,,,yes
10.0,2.0,,,,,,,,,,,,0.0,,0.0,,4.0,,7.0,,yes
,,,,,30.0,,,9.0,,,,,,1.0,,5.0,3.0,,,1.0,yes
,,1.0,,10.0,30.0,,,9.0,100.0,0.01,,,,,,,,,4.0,1.0,yes
,,,,,128.0,0.22,,,576.0,,,,,,,,,,15.0,,yes
6.0,,,,,,0.4,,,,0.02,,,,,,,,,,3.0,yes
,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,yes
4.0,,,1.0,,,,,,,0.0,,,,,,,,3.0,1.0,,yes
,,,,,,,,,,,,,0.0,0.0,,3.0,,,,1.0,yes
,,,,,,,1.5,7.74,,,0.97,2.0,0.0,,,3.0,,,,,yes
,,,,,0.0,,0.0,,,,,,,0.0,,,,,0.0,,yes
