loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,lOCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,class
,2.0,,,,114.45,,5.33,21.46,,,,,,2.0,0.0,,,16.0,,,no
88.0,,4.0,6.0,244.0,,0.07,15.27,,21633.88,,,,3.0,,0.0,,,143.0,101.0,,no
47.0,,,,165.0,,0.04,24.7,,23004.98,0.31,,,3.0,,,,,,36.0,15.0,no
,6.0,6.0,6.0,124.0,,0.05,,30.39,,0.22,,35.0,,,,,21.0,,44.0,,no
41.0,7.0,1.0,,93.0,,0.06,,26.29,8516.41,,,33.0,,3.0,,,16.0,61.0,,,no
21.0,3.0,,2.0,,,0.07,,,,0.06,156.08,16.0,,,,,,,14.0,,no
,,1.0,1.0,,,0.2,,44.23,1057.08,,,10.0,0.0,,,6.0,,,9.0,,no
,1.0,,,,25.27,0.0,,,0.0,,0.0,2.0,,,,7.0,0.0,,0.0,1.0,no
,1.0,,,,,,,,,0.0,,,,0.0,,,,,,,no
,1.0,1.0,1.0,,15.51,0.5,2.0,7.75,31.02,0.01,,2.0,0.0,,0.0,4.0,,,2.0,1.0,no
,,,,,8.0,,,5.33,12.0,,0.67,,,,0.0,,,,,1.0,no
,,,1.0,,,,1.5,,,,,2.0,0.0,0.0,0.0,,1.0,3.0,1.0,1.0,no
,,,1.0,4.0,8.0,,,,,,,2.0,,0.0,,3.0,1.0,,,1.0,no
,5.0,,1.0,,,0.14,7.0,16.9,,,,,0.0,,,,5.0,23.0,,,no
20.0,,1.0,,,,,,30.24,,,,,,2.0,0.0,,13.0,,,3.0,no
241.0,20.0,4.0,,,4008.48,,54.62,,,1.34,,,43.0,,,,,381.0,238.0,39.0,no
2.0,,,1.0,,,0.67,,7.74,17.41,0.0,,0.0,,,0.0,3.0,,,,1.0,no
,,3.0,,161.0,,0.04,23.96,,,0.29,,52.0,,7.0,1.0,,23.0,103.0,58.0,,no
,1.0,1.0,1.0,7.0,,0.5,,9.83,39.3,,,2.0,,,,,,,3.0,,no
4.0,1.0,,1.0,,,0.67,,7.74,,,,,,0.0,,,,,2.0,1.0,no
10.0,2.0,,,,96.0,0.2,5.0,,,,26.67,6.0,0.0,2.0,,,,,10.0,3.0,no
11.0,1.0,,1.0,13.0,36.5,0.4,,,,,5.07,,,2.0,,,,,,,no
12.0,,1.0,,18.0,64.53,0.17,6.0,,387.18,0.02,21.51,8.0,0.0,1.0,0.0,8.0,,,,,no
,,,11.0,,,0.03,34.01,,66668.34,,,,,,,,43.0,205.0,,27.0,no
,,,2.0,19.0,68.11,,,9.73,476.8,,26.49,,,,0.0,,4.0,12.0,,,no
,,1.0,,,,0.14,,30.82,1564.76,0.07,86.93,16.0,2.0,,,9.0,,,,5.0,no
11.0,,,,,,,,10.16,,,,,,,0.0,,4.0,,6.0,3.0,no
,,,,17.0,,0.16,,9.6,,,,,,0.0,0.0,7.0,,,7.0,3.0,no
,2.0,,2.0,63.0,292.56,0.1,,29.79,,,,19.0,,,0.0,,14.0,38.0,,,no
,4.0,,,,437.14,,11.56,37.81,,0.15,,,1.0,,1.0,10.0,16.0,56.0,,,no
83.0,7.0,,,223.0,,0.04,26.78,,31113.57,,,,,12.0,,,,,,,no
,1.0,,1.0,,11.61,0.5,2.0,,23.22,0.0,,,,,,,,,1.0,1.0,no
,12.0,,8.0,,1457.68,,,68.08,,0.49,,,,,,,34.0,157.0,,,no
3.0,,,,,0.0,,,,0.0,,0.0,1.0,0.0,0.0,0.0,,,,,1.0,no
,,1.0,,,70.31,,,12.56,,0.02,21.87,8.0,,1.0,0.0,,,,7.0,,no
,,,2.0,19.0,,,7.0,,,0.02,,,,1.0,0.0,,,,7.0,,no
,,,,2.0,2.0,,,4.0,1.0,,,,,,0.0,,,,1.0,1.0,no
,1.0,,,4.0,,0.67,,5.33,12.0,,,,0.0,,0.0,,,,,,no
,,1.0,2.0,,167.59,,,21.28,,0.06,,,0.0,,,,,27.0,,,no
,,3.0,3.0,,,,,,,0.02,,5.0,,0.0,0.0,11.0,,23.0,,,no
,,,,,,,,,,0.05,92.48,,,,,,,,7.0,,no
,9.0,1.0,,239.0,,,,,31075.65,,,,,17.0,,19.0,,144.0,95.0,17.0,no
,,,,60.0,,0.12,,,,0.09,,,,,,,15.0,35.0,25.0,3.0,no
,2.0,,2.0,,64.53,,7.0,,451.71,,,,,0.0,,,4.0,11.0,,,no
30.0,,3.0,4.0,,,,12.67,,5345.24,,,,3.0,,0.0,,,48.0,,9.0,no
,4.0,,3.0,40.0,178.38,,15.0,11.89,,0.06,148.65,,,,,15.0,,26.0,,7.0,no
23.0,,,,,,,,23.97,,,,,0.0,,0.0,,,,20.0,,no
,,,2.0,,76.15,0.12,,,,,,,,3.0,0.0,9.0,5.0,11.0,9.0,,no
20.0,,,2.0,,208.08,0.13,,26.71,,,90.07,,,,,,,,,,no
28.0,,,,,,0.1,10.0,26.31,2631.06,,146.17,,0.0,6.0,0.0,,,,,,no
,,,,,,0.1,,26.31,,,,18.0,,6.0,,,,35.0,,,no
3.0,1.0,,,1.0,,,,,,,,1.0,0.0,,,,0.0,1.0,0.0,,no
,5.0,,,172.0,,,19.8,,,,946.0,,,,1.0,12.0,,,,9.0,no
,,,2.0,,88.0,,,,,0.03,,8.0,,,,,,13.0,,,no
,,,2.0,,,,,,451.71,,25.09,8.0,0.0,,,,,,,,no
,,1.0,1.0,,31.7,0.5,2.0,15.85,,,3.52,,,,,,,,,,no
,,,,,,,10.61,,3546.58,,197.03,22.0,,,,,14.0,45.0,27.0,5.0,no
3.0,,,1.0,1.0,,,0.0,0.0,,0.0,,1.0,0.0,0.0,,,,,,1.0,no
21.0,2.0,,2.0,,,,,,,0.05,,,1.0,1.0,,10.0,8.0,23.0,,3.0,no
,2.0,,,,,,,,,0.02,,8.0,,,0.0,,,12.0,6.0,,no
43.0,,,,,513.83,0.06,15.79,,,0.17,450.73,30.0,3.0,,0.0,,19.0,61.0,,,no
,,1.0,,15.0,51.89,,,11.86,227.03,0.02,,,,2.0,0.0,7.0,4.0,,,3.0,no
18.0,,,2.0,,,,,,3137.72,,174.32,,,3.0,,11.0,9.0,,,,no
4.0,1.0,,,1.0,,0.0,0.0,,,,,,,,,,,,,1.0,no
,,,1.0,1.0,,,0.0,,,,,,,,,,,1.0,,,no
,,1.0,,,,,,6.2,38.77,0.01,,,,1.0,0.0,5.0,,,,,no
33.0,,1.0,,,390.14,,12.83,30.4,,,,18.0,3.0,,,11.0,,48.0,,,no
,,1.0,,,346.13,0.06,16.67,20.77,,,,,,,,16.0,12.0,,,5.0,no
7.0,,,1.0,6.0,,0.4,,,,0.01,,,,1.0,,5.0,1.0,,,,no
,,1.0,3.0,99.0,,,17.05,,8794.65,0.17,,,5.0,6.0,0.0,18.0,,63.0,,,no
,,1.0,,84.0,,0.06,,22.87,7282.49,0.14,,,5.0,,0.0,16.0,,,,5.0,no
47.0,,1.0,,,388.64,,,22.55,,0.13,372.03,,,,0.0,16.0,,,,5.0,no
,,1.0,4.0,,,,,35.41,,,,,,,,,,,,9.0,no
,,,7.0,221.0,,0.04,,,,0.42,,,0.0,15.0,,,31.0,133.0,88.0,,no
70.0,6.0,,,175.0,,,,,19108.01,,,52.0,3.0,,1.0,16.0,,105.0,,,no
,,1.0,,,386.43,,11.56,33.44,4465.38,0.13,,,,,,,,,,9.0,no
4.0,1.0,,,,,0.67,,5.33,12.0,0.0,,,,0.0,,3.0,1.0,,,,no
,11.0,1.0,,,1655.37,,,71.69,,,,,,,0.0,,,,,,no
,,,,13.0,,,,,,,6.25,2.0,,,,,,7.0,,3.0,no
,,,,5.0,11.61,0.67,1.5,7.74,,0.0,0.97,2.0,0.0,0.0,,,,3.0,,1.0,no
174.0,,7.0,,,,0.03,,73.74,,0.98,6501.69,133.0,,,,,,,194.0,57.0,no
100.0,,,,,1585.26,,21.86,,,0.53,1925.53,,,13.0,0.0,13.0,,,,,no
,5.0,,,,,0.06,,64.3,15734.28,0.34,,,,7.0,,12.0,28.0,116.0,,9.0,no
55.0,,1.0,13.0,100.0,,,,,5410.11,,,,,,,13.0,,,,25.0,no
,5.0,1.0,,146.0,,,,,,,,51.0,1.0,,0.0,,,78.0,68.0,,no
,11.0,1.0,,,,0.04,,,21863.82,,,58.0,0.0,,0.0,,22.0,104.0,,,no
,6.0,,,63.0,276.72,0.13,8.0,,2213.73,,,20.0,,,,,,37.0,,11.0,no
33.0,,,,,,,,39.95,,0.12,,,,,,,,,,,no
,4.0,1.0,2.0,77.0,394.95,0.07,14.63,,,,320.9,,18.0,,0.0,15.0,20.0,38.0,39.0,7.0,no
,1.0,,1.0,4.0,,,1.5,,,,0.67,,,0.0,,,1.0,,1.0,1.0,no
,,,,70.0,336.51,0.1,9.71,34.67,,,,,0.0,5.0,0.0,11.0,17.0,,,,no
,,,3.0,124.0,,,15.89,,,,542.27,,2.0,,,,18.0,80.0,,,no
62.0,6.0,,,184.0,1022.04,,,60.57,,,,,1.0,4.0,,,32.0,,,,no
,,,,,,0.09,,,2036.57,0.06,113.14,,,,,9.0,,,18.0,,no
33.0,,,,,249.12,0.14,,,,,,23.0,0.0,,0.0,,,33.0,,3.0,no
5.0,1.0,,,,,,1.5,,,0.0,0.97,2.0,0.0,1.0,,3.0,2.0,,2.0,,no
,,1.0,,63.0,306.05,,,,1928.13,,107.12,21.0,,,1.0,,,,28.0,7.0,no
4.0,,1.0,,,,,1.5,5.33,12.0,,,2.0,0.0,0.0,,,1.0,,1.0,,no
,1.0,,,,,,5.0,,,,10.14,,0.0,0.0,,,,9.0,,,no
7.0,,1.0,,,36.5,0.2,,,182.48,,10.14,4.0,0.0,,1.0,,2.0,9.0,4.0,1.0,no
,,,,,,0.2,5.0,,,,,5.0,,,,5.0,,9.0,4.0,,no
,1.0,,,11.0,,,,,,,,,0.0,,,6.0,,,3.0,1.0,no
,1.0,,,,8.0,,,,12.0,,0.67,,,0.0,,3.0,,3.0,,,no
,1.0,,,,43.19,,3.75,11.52,161.94,,,,,,,,,,,,no
6.0,2.0,,,,,,,13.74,,,6.87,,,0.0,,6.0,,,,,no
,,,,,33.0,,,7.33,,0.01,,4.0,,0.0,,6.0,,8.0,3.0,,no
,1.0,,,,,0.67,1.5,5.33,12.0,0.0,,,,,,3.0,1.0,,,,no
6.0,1.0,,1.0,,23.26,,,11.63,,0.01,,4.0,,0.0,,,3.0,,,,no
,,,1.0,5.0,,0.67,,,,,0.97,,0.0,0.0,,3.0,2.0,,,,no
46.0,9.0,,,132.0,,0.07,,,9534.06,0.24,,,3.0,,,,27.0,,52.0,17.0,no
17.0,,1.0,3.0,,,,8.5,25.71,,,,15.0,,0.0,,,,,,7.0,no
48.0,15.0,,,,,,,,19498.0,,,,,,1.0,15.0,,94.0,66.0,,no
,2.0,1.0,,,,0.1,,,1348.86,,,7.0,,,,,7.0,,,,no
,,,,57.0,,,11.45,,,,,24.0,,3.0,1.0,,,,,,no
,,,,,,0.14,,,451.71,,,,,1.0,1.0,8.0,,,7.0,,no
13.0,,1.0,,,,,8.25,,911.18,,50.62,,,,0.0,11.0,8.0,14.0,,,no
,,,4.0,47.0,,,7.27,28.39,,,83.41,19.0,,,,,,,16.0,5.0,no
,5.0,,5.0,,594.54,0.08,,44.76,7897.06,0.2,,44.0,,9.0,0.0,13.0,,,,,no
,,,,,,,,,161.32,0.02,8.96,3.0,0.0,,,6.0,,,,3.0,no
,3.0,1.0,3.0,115.0,,,,,5968.63,0.19,,36.0,0.0,7.0,,,,,44.0,5.0,no
,,,,,,,,,3589.49,,,,0.0,,,10.0,,52.0,,,no
,4.0,1.0,4.0,,,0.09,11.25,51.47,,0.19,,,0.0,,,12.0,24.0,,,7.0,no
,,1.0,,4.0,,,1.5,,12.0,,,,,,,,,3.0,,,no
,1.0,,1.0,14.0,,,,,,,,6.0,0.0,,,,6.0,,,,no
,,,1.0,,,,,,,0.0,0.67,,,,,3.0,,,,,no
4.0,,,1.0,,,,1.5,5.33,,0.0,,,0.0,,,3.0,,,,,no
20.0,4.0,3.0,,45.0,206.32,0.09,,19.4,,,121.92,,1.0,2.0,,13.0,11.0,,,7.0,no
,,,1.0,4.0,,,,,,,,,,,,3.0,1.0,,1.0,,no
9.0,1.0,,1.0,,,,,,,,,,,2.0,,,,9.0,,,no
,1.0,,,13.0,,0.25,,,,,9.16,3.0,,,,,,,,,no
,,,7.0,,,,,,,,,,1.0,,,,17.0,,,,no
,1.0,,,,25.27,,1.5,,37.9,,2.11,,,,,3.0,,5.0,,,no
4.0,,,,,,,,,,,0.97,,,0.0,0.0,,2.0,,2.0,,no
94.0,6.0,,6.0,230.0,,0.05,21.79,,29104.02,0.45,1616.89,,0.0,20.0,,,38.0,,92.0,,no
,,,8.0,296.0,1596.13,,,55.52,,0.53,2549.37,89.0,2.0,16.0,0.0,14.0,28.0,181.0,,15.0,no
16.0,,3.0,,51.0,247.76,0.11,8.94,,,0.08,,,,0.0,,13.0,16.0,,,7.0,no
,,,,6.0,15.51,0.4,2.5,6.2,38.77,,2.15,,,,,5.0,1.0,,,,no
,10.0,1.0,,122.0,,0.05,19.41,,,0.22,709.51,37.0,2.0,,,,23.0,,,19.0,no
,30.0,16.0,27.0,391.0,,,29.64,,,0.76,3739.18,115.0,20.0,10.0,,,,,,59.0,yes
,,9.0,,,,0.04,27.7,,,0.86,3981.29,,,,6.0,20.0,61.0,,169.0,41.0,yes
130.0,,,,,,,,,42927.97,,,104.0,,,,,,,,,yes
,,16.0,12.0,352.0,2062.01,,,,46254.62,0.69,2569.7,,,,,14.0,44.0,,,35.0,yes
1275.0,,,,3982.0,33814.56,0.01,,415.06,,,153047.01,,39.0,,,35.0,,2469.0,,,yes
,,,,317.0,,0.04,,,53316.81,0.64,,84.0,0.0,19.0,1.0,20.0,46.0,189.0,128.0,,yes
,,14.0,,,,,,55.35,,0.58,3051.36,87.0,,12.0,1.0,21.0,,174.0,120.0,,yes
517.0,86.0,,,,,,,,521538.55,,28974.36,401.0,,56.0,6.0,,126.0,798.0,,,yes
102.0,,1.0,,,,0.05,18.89,,,,,80.0,,15.0,,,,161.0,,27.0,yes
,,,10.0,,,,27.73,61.3,47132.77,,,79.0,,,2.0,,,180.0,,,yes
,7.0,,,,,,,,19044.9,0.39,,,,,0.0,14.0,,139.0,,13.0,yes
,,18.0,21.0,,3731.48,,,,,,8697.36,,,,,,66.0,,,,yes
89.0,13.0,,7.0,,1417.45,0.05,,69.82,28777.45,0.47,1598.75,,,,1.0,,,142.0,,,yes
80.0,19.0,,12.0,273.0,,,,62.74,,,2185.6,71.0,,7.0,0.0,,,164.0,109.0,,yes
,,5.0,,185.0,,,20.36,52.3,,0.35,,,3.0,,,,,,,,yes
148.0,,8.0,,,677.26,0.1,,69.96,6555.88,,,,,,0.0,23.0,,238.0,,3.0,yes
,,13.0,,,,,,71.13,97968.47,0.88,,,7.0,,5.0,24.0,,,167.0,,yes
140.0,,17.0,18.0,,2597.54,,,59.3,113783.48,0.87,,115.0,12.0,10.0,,,,,,,yes
,,,,,852.5,,,,15345.05,0.28,852.5,,2.0,12.0,,,,,,,yes
,,1.0,5.0,,1202.14,,16.34,,19640.39,,,50.0,,9.0,2.0,13.0,,,,9.0,yes
,8.0,7.0,7.0,,1121.58,,,,,0.37,1197.37,,,10.0,0.0,18.0,,115.0,79.0,,yes
61.0,,,3.0,159.0,,0.06,,52.92,,0.29,,,,,0.0,,,,,,yes
61.0,8.0,7.0,,,,0.05,18.9,32.03,11442.12,,,38.0,,,,,,,,,yes
,9.0,5.0,,110.0,573.04,,22.17,,,0.19,705.69,,17.0,2.0,,19.0,18.0,68.0,,,yes
,,5.0,,,,,,39.36,,,1371.53,,,,,,,120.0,64.0,17.0,yes
59.0,,7.0,,,728.63,,,42.17,,,699.48,44.0,2.0,8.0,2.0,16.0,25.0,82.0,54.0,13.0,yes
57.0,8.0,8.0,,,785.1,0.08,13.07,,,0.26,570.13,,,6.0,0.0,9.0,,,,,yes
56.0,,,,,,,,,,0.18,,44.0,,,0.0,15.0,,,,,yes
110.0,12.0,,,313.0,1825.69,,,76.07,43816.67,,2434.26,88.0,,,0.0,16.0,,190.0,,,yes
,4.0,,,,680.41,,15.29,,10402.41,,,42.0,,,0.0,,26.0,,53.0,,yes
269.0,,,,,,,48.44,,271767.2,,15098.18,,29.0,26.0,,21.0,75.0,,346.0,,yes
52.0,,1.0,,133.0,692.86,,,,8646.86,0.23,480.38,,,,,,25.0,81.0,,13.0,yes
,,,,96.0,,,,35.35,,,374.87,,,4.0,,,19.0,61.0,,11.0,yes
101.0,11.0,4.0,8.0,,,,,,,,2366.38,,,12.0,,18.0,53.0,177.0,132.0,,yes
99.0,,,5.0,,,,,96.49,8203.37,0.3,,,0.0,8.0,,,,172.0,,,yes
,,,,,,,,,,1.07,7727.6,137.0,,,,,56.0,317.0,,45.0,yes
,,17.0,15.0,279.0,,0.05,20.72,77.86,33418.04,0.54,1856.56,75.0,7.0,,,,,,101.0,,yes
,,,4.0,,,,,34.98,,,739.04,,1.0,2.0,,15.0,,,52.0,13.0,yes
,,1.0,2.0,,,0.1,,,,0.13,,,12.0,,0.0,11.0,,47.0,,5.0,yes
,,5.0,,,1976.52,,26.09,,51561.31,0.66,2864.52,112.0,,,,,,,120.0,,yes
91.0,,7.0,,,,,,,37849.62,0.49,,71.0,,8.0,2.0,,38.0,,103.0,15.0,yes
,,,,1886.0,14068.49,,,219.66,,4.69,,,40.0,,,,,1147.0,,,yes
45.0,,,7.0,132.0,,0.07,13.48,,,,,,3.0,,0.0,,27.0,80.0,,,yes
42.0,,1.0,,102.0,,0.07,,36.83,6934.22,,385.23,,2.0,,0.0,,,64.0,,,yes
,4.0,,,,,,12.53,31.41,4928.64,,,,,,1.0,14.0,,,,,yes
122.0,,5.0,,353.0,,,37.8,,79136.2,0.7,4396.46,,,22.0,0.0,21.0,40.0,209.0,144.0,,yes
80.0,8.0,,,,,,,,18877.98,,1048.78,58.0,,,,,,,71.0,15.0,yes
76.0,10.0,,,,,0.03,,34.57,29880.26,0.34,,60.0,3.0,,,21.0,,114.0,,,yes
,12.0,5.0,,,,,,,,,1448.96,63.0,0.0,,0.0,,,,80.0,23.0,yes
,,,,,,,,49.5,6070.35,,337.24,,0.0,5.0,,13.0,,57.0,,,yes
143.0,14.0,,10.0,,2260.24,0.04,25.05,,,0.75,,,14.0,,,,55.0,,,27.0,yes
,11.0,,,,,0.05,20.34,,19547.56,0.32,,,4.0,6.0,0.0,,28.0,108.0,,,yes
35.0,5.0,1.0,,,,,,,,,217.41,30.0,0.0,3.0,,,,,,9.0,yes
,,5.0,,356.0,2159.53,,22.27,,,,2672.36,,,,,,51.0,214.0,142.0,,yes
,,6.0,6.0,80.0,,,,24.78,6572.12,,365.12,27.0,,4.0,,19.0,,,24.0,,yes
102.0,10.0,8.0,,,1452.82,,,,,0.48,1997.63,72.0,,16.0,0.0,,40.0,,,,yes
33.0,,,,,413.64,0.08,12.89,,5333.78,,296.32,,,3.0,,,,,,,yes
,,,4.0,,873.51,,,,,,803.95,50.0,,,,,,,,9.0,yes
61.0,,,,166.0,916.91,,,56.64,14842.5,,824.58,,1.0,,,,32.0,,,13.0,yes
58.0,,,3.0,140.0,,0.06,16.39,,,,687.35,44.0,,,,15.0,,81.0,59.0,,yes
113.0,14.0,,12.0,265.0,,0.05,20.44,,31864.67,,1770.26,,,,,,,,101.0,27.0,yes
,,,10.0,,2677.58,0.04,,108.56,,0.89,,118.0,1.0,,1.0,,,249.0,177.0,63.0,yes
,,,3.0,,,0.06,17.0,,,,675.45,,0.0,,,17.0,,,,7.0,yes
210.0,,1.0,,687.0,4305.28,,41.37,,178095.18,1.44,9894.18,164.0,,,,17.0,,,,9.0,yes
,,,4.0,,879.05,0.05,19.85,,,,,,1.0,,0.0,16.0,27.0,95.0,67.0,,yes
,,,1.0,40.0,,,,33.59,,,,,,7.0,0.0,8.0,,23.0,,,yes
118.0,3.0,1.0,2.0,353.0,2050.0,,,,63959.88,,3553.33,87.0,1.0,,,,40.0,197.0,,5.0,yes
,27.0,,16.0,,,,,128.36,116627.07,,6479.28,168.0,,,,20.0,,,211.0,53.0,yes
45.0,9.0,1.0,,197.0,1158.88,0.04,,49.67,,0.39,,36.0,2.0,,,,,,,17.0,yes
,19.0,,,348.0,,0.04,,,,0.74,3034.12,,,,,,61.0,,151.0,37.0,yes
,,,2.0,,,0.09,,,,0.11,,22.0,,,0.0,,17.0,39.0,,,yes
,3.0,1.0,,,,,8.25,,3139.55,,174.42,24.0,,8.0,0.0,,,,33.0,5.0,yes
,,,,106.0,,,,,12692.8,,,,,,,,,,,,yes
39.0,,1.0,,,418.34,,,,,,,,,3.0,,,,,,,yes
58.0,10.0,5.0,6.0,,,0.05,21.54,,,,,50.0,4.0,,0.0,,,106.0,,,yes
,,1.0,4.0,99.0,475.93,0.09,,40.86,,,,,,,,,,,,15.0,yes
,,,,,,0.1,,,,,,12.0,,,,10.0,6.0,,12.0,,yes
49.0,,,4.0,126.0,,,16.67,,,,572.47,39.0,,,0.0,12.0,18.0,76.0,50.0,,yes
65.0,,1.0,6.0,,,0.06,16.25,,,0.24,,,,,1.0,13.0,,,,11.0,yes
,,1.0,6.0,87.0,,,16.94,26.34,,,,,,,0.0,,,,32.0,,yes
,2.0,1.0,,19.0,74.23,,,24.74,222.69,,12.37,,0.0,,,8.0,,,,,yes
,10.0,6.0,6.0,,,,17.83,,,,,,7.0,11.0,,,,,,,yes
,1.0,,,,,,,38.69,,,,20.0,0.0,7.0,0.0,,,,30.0,1.0,yes
,3.0,,2.0,33.0,142.62,,,24.9,,,45.38,,,,,9.0,,,,5.0,yes
,,1.0,,,,,,32.65,2900.15,0.1,,,,,,13.0,,32.0,29.0,,yes
14.0,,1.0,,,,,,29.06,,0.06,69.01,,0.0,,,,,25.0,,,yes
,,1.0,7.0,207.0,,,,,,0.38,,,,,0.0,17.0,28.0,,,,yes
13.0,,,,,,0.21,,,,,,,,,0.0,,,,13.0,,yes
37.0,,1.0,,,,,,,,,,26.0,5.0,,0.0,7.0,,,51.0,,yes
,,,,,,,,26.28,,,,,,,0.0,7.0,,15.0,,3.0,yes
11.0,,,,,,,,21.06,,0.05,60.65,9.0,0.0,,0.0,,,,12.0,,yes
,,,,18.0,,0.14,,,,0.02,,,,,0.0,,,,7.0,,yes
,,1.0,,,,,,,,0.01,5.56,,0.0,,0.0,5.0,3.0,,4.0,1.0,yes
,,,,10.0,,,3.33,,100.0,,5.56,,0.0,,,,,6.0,,,yes
14.0,3.0,1.0,,32.0,,0.22,4.5,,576.0,0.04,,,0.0,3.0,,6.0,10.0,,15.0,,yes
6.0,,,1.0,,,,,21.51,134.44,0.02,7.47,,0.0,,,5.0,7.0,8.0,,3.0,yes
4.0,1.0,1.0,,5.0,11.61,0.5,2.0,,23.22,,1.29,,,,,4.0,,,,,yes
,1.0,,,,,0.67,,,12.0,0.0,0.67,,,0.0,0.0,3.0,1.0,,,1.0,yes
,,,,,8.0,,,5.33,,0.0,,2.0,,,,,1.0,,,,yes
4.0,,1.0,1.0,,11.61,0.67,,,17.41,,,2.0,,,,,,,,1.0,yes
3.0,,,,1.0,0.0,0.0,,,0.0,,,,0.0,,,,0.0,1.0,,,yes
