checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
no checking,12.0,existing paid,radio/tv,,,4<=X<7,,,,,no known property,,,own,1.0,,,none,yes,good
0<=X<200,18.0,existing paid,radio/tv,866.0,<100,1<=X<4,,male mar/wid,guarantor,,,25.0,,,,unskilled resident,,none,,good
no checking,4.0,critical/other existing credit,radio/tv,1544.0,,4<=X<7,2.0,male single,,1.0,real estate,,,,,,2.0,none,yes,good
<0,,,radio/tv,,<100,unemployed,4.0,male single,none,2.0,car,,,own,1.0,high qualif/self emp/mgmt,2.0,none,yes,bad
0<=X<200,,existing paid,,14555.0,,unemployed,1.0,,none,2.0,,23.0,none,own,1.0,unemp/unskilled non res,,yes,,bad
0<=X<200,21.0,,business,2767.0,,,,male div/sep,none,2.0,car,61.0,bank,rent,2.0,unskilled resident,,none,,bad
no checking,12.0,critical/other existing credit,radio/tv,,<100,1<=X<4,,female div/dep/mar,,2.0,,35.0,,,,skilled,,,yes,good
<0,,existing paid,radio/tv,2522.0,,>=7,1.0,male single,,,life insurance,39.0,none,,1.0,skilled,,,yes,good
,24.0,existing paid,,915.0,no known savings,>=7,,female div/dep/mar,,2.0,car,,,own,1.0,,1.0,none,,bad
,6.0,,,1595.0,,4<=X<7,,male single,none,2.0,life insurance,,,own,,skilled,,,yes,good
<0,48.0,no credits/all paid,,4605.0,<100,>=7,,male single,,4.0,no known property,,none,,2.0,skilled,2.0,,yes,bad
no checking,12.0,critical/other existing credit,business,1185.0,<100,,,,none,2.0,real estate,27.0,none,,2.0,skilled,,none,yes,good
,,all paid,,3447.0,500<=X<1000,1<=X<4,4.0,female div/dep/mar,,3.0,real estate,35.0,none,own,,,,none,yes,good
no checking,,existing paid,,,<100,4<=X<7,4.0,male single,,1.0,real estate,25.0,none,,1.0,skilled,1.0,yes,yes,good
no checking,12.0,critical/other existing credit,radio/tv,717.0,<100,,4.0,male single,,,,,,,,skilled,1.0,,,good
no checking,6.0,,,1204.0,100<=X<500,1<=X<4,4.0,,none,,no known property,35.0,,rent,1.0,,1.0,none,,good
>=200,,existing paid,furniture/equipment,1925.0,<100,1<=X<4,2.0,male single,none,2.0,,,none,,1.0,skilled,1.0,,,good
,,,radio/tv,433.0,<100,,,,,,real estate,22.0,,rent,1.0,skilled,1.0,none,yes,bad
<0,,,new car,,>=1000,4<=X<7,,female div/dep/mar,none,,,,,own,2.0,unskilled resident,1.0,,yes,good
>=200,12.0,existing paid,furniture/equipment,,<100,,1.0,,none,2.0,car,46.0,none,own,,unskilled resident,,,yes,good
0<=X<200,30.0,,,2150.0,,,,female div/dep/mar,guarantor,,,24.0,bank,own,1.0,,,,yes,bad
no checking,24.0,delayed previously,furniture/equipment,4151.0,,1<=X<4,2.0,,,3.0,life insurance,35.0,,own,2.0,skilled,,none,yes,good
0<=X<200,9.0,existing paid,furniture/equipment,2030.0,no known savings,,,,none,,,24.0,none,own,1.0,skilled,1.0,yes,yes,good
0<=X<200,60.0,,radio/tv,7418.0,no known savings,1<=X<4,1.0,,none,,real estate,27.0,none,own,,unskilled resident,1.0,,yes,good
no checking,24.0,critical/other existing credit,radio/tv,2684.0,<100,,4.0,male single,,,real estate,35.0,,own,,unskilled resident,1.0,none,,good
,,,,2149.0,<100,,,,none,1.0,no known property,29.0,,,1.0,,1.0,none,yes,bad
,,existing paid,used car,3812.0,100<=X<500,,1.0,,,4.0,,,,,1.0,skilled,1.0,,yes,good
no checking,,critical/other existing credit,radio/tv,,,,,,none,,,,,,3.0,,,none,yes,good
,,,,1657.0,<100,,2.0,,,,,27.0,none,own,1.0,skilled,,,yes,good
,24.0,existing paid,radio/tv,1603.0,<100,,4.0,,none,4.0,car,,none,own,1.0,skilled,1.0,,,good
<0,,critical/other existing credit,,5302.0,<100,>=7,2.0,,,4.0,no known property,,,,3.0,,1.0,yes,,good
no checking,,critical/other existing credit,education,2748.0,<100,>=7,,female div/dep/mar,none,,no known property,,bank,for free,3.0,,1.0,none,,good
no checking,10.0,critical/other existing credit,new car,1231.0,<100,>=7,3.0,,,4.0,real estate,32.0,none,,,unskilled resident,,none,no,good
,,,radio/tv,,<100,>=7,,male single,,3.0,,,none,own,1.0,skilled,2.0,none,yes,bad
no checking,36.0,critical/other existing credit,,6304.0,,,4.0,,none,,real estate,36.0,none,own,2.0,,1.0,none,yes,good
no checking,,,radio/tv,1533.0,,<1,4.0,female div/dep/mar,none,3.0,car,,stores,,,skilled,,yes,,good
,14.0,existing paid,new car,8978.0,<100,,,male div/sep,none,4.0,,45.0,none,own,1.0,high qualif/self emp/mgmt,1.0,,no,bad
no checking,24.0,existing paid,radio/tv,999.0,,,,male single,none,,car,,none,,2.0,skilled,1.0,,,good
no checking,18.0,,,2662.0,no known savings,4<=X<7,,male single,,3.0,,32.0,,own,1.0,skilled,,none,no,good
,,critical/other existing credit,,,500<=X<1000,4<=X<7,3.0,female div/dep/mar,none,,car,,none,,1.0,,1.0,,yes,good
,48.0,all paid,new car,12169.0,,,,male single,,,no known property,,none,for free,1.0,,1.0,yes,yes,good
0<=X<200,48.0,,,,,,4.0,,none,,real estate,,none,,2.0,,1.0,none,,bad
,,existing paid,repairs,,<100,,1.0,male div/sep,none,1.0,,,none,,1.0,,1.0,,yes,bad
no checking,9.0,existing paid,radio/tv,,,,1.0,male single,,2.0,,32.0,none,own,1.0,skilled,2.0,,,good
,18.0,critical/other existing credit,radio/tv,,,1<=X<4,2.0,female div/dep/mar,none,2.0,car,,none,own,,,1.0,,yes,good
<0,12.0,existing paid,,1262.0,,,2.0,,,,life insurance,,none,own,,unskilled resident,1.0,yes,,good
no checking,6.0,,,,,,1.0,female div/dep/mar,none,4.0,life insurance,32.0,,own,,skilled,1.0,none,,bad
no checking,,existing paid,radio/tv,1901.0,100<=X<500,,4.0,,none,4.0,car,29.0,,rent,1.0,high qualif/self emp/mgmt,1.0,,yes,good
no checking,15.0,critical/other existing credit,,,,>=7,3.0,,,4.0,no known property,,none,rent,2.0,skilled,1.0,yes,yes,good
no checking,,existing paid,furniture/equipment,,<100,,,,,2.0,real estate,50.0,none,,1.0,,1.0,,yes,good
,18.0,all paid,,1445.0,no known savings,,4.0,,none,,,49.0,,,1.0,unskilled resident,,none,yes,good
,,critical/other existing credit,furniture/equipment,1520.0,no known savings,,4.0,male single,none,4.0,life insurance,,,own,,skilled,1.0,none,,good
,24.0,critical/other existing credit,new car,3878.0,100<=X<500,,,,,,car,,none,own,1.0,,1.0,,,good
<0,47.0,existing paid,,,<100,<1,,female div/dep/mar,,1.0,real estate,35.0,,own,1.0,unskilled resident,1.0,,yes,good
<0,48.0,,,,<100,,,male single,none,,life insurance,26.0,,own,1.0,skilled,2.0,,,good
,48.0,,,,100<=X<500,unemployed,,,none,4.0,,31.0,,for free,,high qualif/self emp/mgmt,,,,good
,12.0,,,1092.0,<100,,,,guarantor,4.0,real estate,,,,,skilled,1.0,yes,yes,good
,24.0,,radio/tv,1024.0,<100,<1,,,,4.0,real estate,48.0,stores,,1.0,,1.0,,yes,bad
no checking,12.0,existing paid,business,1076.0,<100,,2.0,,none,,real estate,,none,own,,,1.0,,no,good
0<=X<200,36.0,,used car,,<100,,1.0,male mar/wid,none,4.0,,28.0,none,rent,1.0,high qualif/self emp/mgmt,,,,bad
<0,,critical/other existing credit,,,<100,>=7,,,,4.0,no known property,,none,for free,2.0,high qualif/self emp/mgmt,2.0,,,good
,42.0,,,4796.0,,>=7,,male single,none,,,56.0,,for free,,skilled,1.0,,yes,good
,48.0,critical/other existing credit,,7629.0,no known savings,,4.0,,,,car,46.0,bank,,2.0,,2.0,,yes,good
0<=X<200,48.0,existing paid,,,,<1,1.0,,none,2.0,car,,,,,,,yes,,bad
no checking,12.0,,used car,,no known savings,<1,,,none,4.0,,20.0,none,,1.0,skilled,,none,yes,good
,,existing paid,,1287.0,no known savings,,4.0,male single,,2.0,life insurance,,,,1.0,unskilled resident,1.0,none,no,good
no checking,18.0,existing paid,,2515.0,<100,,3.0,male single,none,,real estate,,,own,1.0,,1.0,yes,,good
,,,furniture/equipment,2745.0,>=1000,4<=X<7,,male single,none,,car,32.0,none,own,2.0,skilled,,yes,yes,good
no checking,,,,672.0,<100,unemployed,1.0,female div/dep/mar,none,4.0,,,,,1.0,unemp/unskilled non res,,,,good
,36.0,,,,<100,1<=X<4,4.0,female div/dep/mar,none,,car,42.0,none,own,,,1.0,yes,,bad
>=200,24.0,,,1344.0,no known savings,,4.0,,none,2.0,,37.0,,own,,,2.0,none,,bad
<0,10.0,,new car,1038.0,<100,,4.0,male single,co applicant,3.0,,,none,own,2.0,,,yes,yes,good
no checking,,,new car,10127.0,,1<=X<4,,male single,none,2.0,,44.0,bank,for free,,skilled,1.0,,yes,bad
no checking,,existing paid,,1543.0,,1<=X<4,4.0,male div/sep,none,,,,none,own,1.0,,1.0,none,,good
no checking,,existing paid,,,no known savings,4<=X<7,,female div/dep/mar,,,life insurance,,stores,rent,1.0,,1.0,,,good
,12.0,existing paid,radio/tv,727.0,100<=X<500,<1,,male mar/wid,none,3.0,no known property,33.0,,own,,unskilled resident,,yes,yes,bad
0<=X<200,,,furniture/equipment,1237.0,<100,1<=X<4,,,,4.0,real estate,,none,own,1.0,skilled,1.0,none,yes,bad
,9.0,existing paid,,,<100,,4.0,,,,,22.0,,rent,1.0,unskilled resident,,none,yes,good
,48.0,,,,no known savings,unemployed,3.0,male single,none,4.0,no known property,40.0,bank,,,unemp/unskilled non res,1.0,yes,yes,good
,,,furniture/equipment,5511.0,100<=X<500,1<=X<4,,,none,1.0,car,25.0,,own,1.0,,1.0,none,,good
,,existing paid,,,<100,<1,2.0,female div/dep/mar,none,,,,none,,,,1.0,,yes,good
,,existing paid,new car,,,4<=X<7,,,none,,,25.0,bank,,1.0,,,none,yes,bad
>=200,4.0,existing paid,new car,1494.0,,<1,1.0,,none,2.0,,,none,own,1.0,,,,,good
,36.0,all paid,,,,>=7,4.0,male single,none,,car,31.0,,,1.0,,1.0,none,yes,bad
,,,furniture/equipment,708.0,,1<=X<4,2.0,,,,,38.0,none,own,,,,none,yes,good
0<=X<200,,existing paid,,4351.0,no known savings,1<=X<4,1.0,female div/dep/mar,,4.0,life insurance,48.0,none,own,1.0,,,,yes,good
no checking,,critical/other existing credit,education,701.0,<100,,4.0,,none,2.0,,,none,own,2.0,skilled,1.0,,,good
,,delayed previously,furniture/equipment,3643.0,<100,>=7,1.0,female div/dep/mar,none,,life insurance,27.0,,,2.0,unskilled resident,1.0,none,yes,good
0<=X<200,,critical/other existing credit,new car,4249.0,<100,unemployed,,male mar/wid,none,2.0,car,28.0,none,,2.0,high qualif/self emp/mgmt,1.0,,yes,bad
,24.0,existing paid,radio/tv,1938.0,,,,male div/sep,none,3.0,,,,own,,skilled,,,yes,bad
,24.0,existing paid,,,<100,,,male single,none,,,34.0,,for free,,high qualif/self emp/mgmt,,,yes,good
<0,,existing paid,,2659.0,,,4.0,male single,none,,,28.0,,own,1.0,skilled,1.0,none,,good
no checking,18.0,,new car,,,,,female div/dep/mar,none,,,36.0,none,own,,,1.0,none,,good
,,critical/other existing credit,,3398.0,<100,4<=X<7,,,,4.0,real estate,39.0,none,,,,,none,no,good
no checking,12.0,,furniture/equipment,5801.0,no known savings,>=7,,,none,4.0,life insurance,49.0,none,rent,1.0,,1.0,,yes,good
,24.0,,new car,1525.0,>=1000,4<=X<7,4.0,female div/dep/mar,,3.0,car,,,own,,,2.0,,,good
,,,radio/tv,4473.0,<100,,4.0,male single,none,2.0,car,31.0,,own,,skilled,1.0,,yes,good
,6.0,existing paid,radio/tv,,<100,>=7,4.0,male single,none,,car,,none,own,1.0,skilled,,none,yes,good
,24.0,critical/other existing credit,used car,6615.0,<100,unemployed,2.0,male single,none,4.0,,,none,,2.0,,,,yes,good
,18.0,,education,,,,4.0,,none,,real estate,,,,2.0,,1.0,,yes,bad
0<=X<200,,,,,,<1,,,none,,life insurance,24.0,none,own,1.0,,,none,yes,bad
no checking,48.0,critical/other existing credit,used car,,100<=X<500,,,female div/dep/mar,none,,car,24.0,bank,rent,2.0,unskilled resident,1.0,,,bad
<0,,no credits/all paid,,4110.0,<100,>=7,,,none,4.0,,23.0,,rent,2.0,,2.0,none,,bad
<0,,,furniture/equipment,3384.0,,1<=X<4,,male div/sep,none,4.0,,,,,1.0,high qualif/self emp/mgmt,,,,bad
,,existing paid,,,<100,<1,,female div/dep/mar,,4.0,life insurance,,none,own,1.0,unskilled resident,1.0,none,,good
,,existing paid,,,,1<=X<4,,,none,2.0,car,,,,1.0,skilled,1.0,,yes,bad
,,existing paid,,4169.0,<100,1<=X<4,4.0,male single,none,4.0,life insurance,,none,own,1.0,skilled,1.0,,,good
,10.0,existing paid,furniture/equipment,1521.0,<100,1<=X<4,4.0,,,2.0,,,none,,,,,,,good
,,critical/other existing credit,education,,<100,<1,2.0,,none,4.0,,24.0,,,2.0,skilled,,yes,yes,good
<0,,existing paid,furniture/equipment,,<100,4<=X<7,1.0,,none,4.0,,,none,,,,1.0,,yes,good
0<=X<200,18.0,existing paid,radio/tv,3213.0,500<=X<1000,<1,1.0,male mar/wid,none,3.0,,25.0,none,rent,1.0,,1.0,none,yes,good
,18.0,existing paid,,,<100,,1.0,,co applicant,1.0,real estate,,,,,high qualif/self emp/mgmt,1.0,,yes,good
,10.0,,,3949.0,,,1.0,male single,guarantor,,life insurance,37.0,,own,1.0,unskilled resident,,none,,good
,,,,1459.0,<100,1<=X<4,4.0,,none,,,43.0,none,,1.0,,1.0,none,yes,good
,,critical/other existing credit,,,<100,,4.0,,guarantor,,,23.0,,own,2.0,,,none,yes,good
0<=X<200,,,radio/tv,3758.0,500<=X<1000,unemployed,1.0,,none,4.0,,,none,rent,1.0,unemp/unskilled non res,,none,yes,good
no checking,6.0,,business,,,1<=X<4,,male single,none,,real estate,34.0,none,own,,unskilled resident,,,yes,good
,,,,1136.0,,>=7,4.0,male single,,,no known property,,none,,2.0,skilled,2.0,,yes,bad
,9.0,existing paid,domestic appliance,1236.0,<100,,1.0,female div/dep/mar,none,4.0,,,none,rent,,skilled,,,yes,good
0<=X<200,,existing paid,furniture/equipment,,,1<=X<4,,,,2.0,car,,none,own,,skilled,1.0,none,no,bad
no checking,18.0,critical/other existing credit,,3229.0,no known savings,,2.0,male single,,4.0,no known property,,none,own,1.0,high qualif/self emp/mgmt,1.0,,,good
<0,12.0,no credits/all paid,radio/tv,6199.0,,1<=X<4,4.0,male single,none,,life insurance,,none,,,,1.0,yes,,bad
,,existing paid,education,727.0,,>=7,,male single,,4.0,,46.0,none,for free,,skilled,,yes,,good
0<=X<200,24.0,existing paid,new car,1246.0,<100,<1,,male single,,2.0,,23.0,stores,,1.0,unskilled resident,1.0,,,bad
,,critical/other existing credit,radio/tv,,no known savings,>=7,,male single,co applicant,,real estate,,,,,skilled,1.0,,,good
no checking,36.0,delayed previously,,4463.0,<100,1<=X<4,4.0,male single,none,2.0,car,26.0,none,own,2.0,high qualif/self emp/mgmt,1.0,,,bad
no checking,12.0,,radio/tv,,<100,,,,none,2.0,,28.0,none,own,1.0,skilled,1.0,none,yes,good
<0,30.0,,furniture/equipment,2406.0,,,,female div/dep/mar,,4.0,,23.0,,,1.0,skilled,1.0,,,bad
,,existing paid,,,no known savings,1<=X<4,,,,4.0,no known property,,,for free,,skilled,,none,yes,good
>=200,,,,3399.0,,>=7,2.0,male single,none,3.0,car,,none,own,,high qualif/self emp/mgmt,1.0,none,yes,good
>=200,,delayed previously,new car,,,,,,,,car,,,,2.0,skilled,1.0,yes,yes,good
,6.0,existing paid,furniture/equipment,1766.0,<100,1<=X<4,1.0,,none,,life insurance,21.0,,rent,,skilled,,,,good
<0,,existing paid,furniture/equipment,2473.0,,unemployed,4.0,,,,,25.0,none,own,1.0,unemp/unskilled non res,1.0,none,yes,bad
no checking,,,,1542.0,<100,4<=X<7,2.0,,none,4.0,,36.0,none,,1.0,skilled,1.0,,yes,good
,18.0,critical/other existing credit,used car,3850.0,,4<=X<7,,male single,none,,car,27.0,none,,,,,,,good
<0,18.0,,furniture/equipment,,<100,<1,,,none,,,22.0,,rent,,,1.0,none,yes,good
,36.0,,furniture/equipment,3446.0,<100,>=7,4.0,,none,2.0,car,,,own,1.0,skilled,2.0,none,yes,bad
,18.0,existing paid,furniture/equipment,3001.0,,4<=X<7,2.0,,,4.0,real estate,40.0,,rent,1.0,,,none,,good
no checking,,,new car,3079.0,no known savings,,,male single,none,,real estate,,none,own,,skilled,,none,,good
no checking,18.0,critical/other existing credit,radio/tv,6070.0,<100,>=7,,male single,none,4.0,car,,,own,2.0,skilled,1.0,,,good
no checking,10.0,critical/other existing credit,furniture/equipment,2146.0,,,,female div/dep/mar,none,3.0,real estate,23.0,none,rent,2.0,,,none,yes,good
,60.0,critical/other existing credit,new car,,,,,,none,4.0,,63.0,bank,,,,1.0,,,good
0<=X<200,60.0,all paid,,14782.0,,>=7,3.0,female div/dep/mar,none,4.0,no known property,,,for free,2.0,,,yes,,bad
<0,,all paid,business,7685.0,,4<=X<7,2.0,female div/dep/mar,guarantor,4.0,,37.0,none,rent,1.0,skilled,1.0,none,yes,bad
no checking,,delayed previously,radio/tv,,,,,male mar/wid,none,3.0,real estate,,,,2.0,skilled,1.0,none,yes,good
no checking,7.0,,radio/tv,,no known savings,>=7,3.0,,,4.0,,,,for free,,skilled,,,yes,good
0<=X<200,,,new car,,,>=7,,male single,,2.0,no known property,57.0,none,for free,1.0,,1.0,yes,,bad
,,,,,,1<=X<4,,,none,4.0,,,,,,unskilled resident,,,,good
<0,20.0,existing paid,furniture/equipment,,,,,male single,,,car,,,own,1.0,skilled,1.0,yes,yes,good
,,,used car,,,unemployed,3.0,,none,4.0,no known property,,none,for free,1.0,,,yes,,bad
,,existing paid,new car,1283.0,,,4.0,,,4.0,life insurance,,none,,1.0,skilled,1.0,,,good
,12.0,,new car,1330.0,<100,,4.0,male single,,,,26.0,none,own,1.0,skilled,1.0,none,,good
no checking,30.0,delayed previously,,4272.0,,1<=X<4,2.0,,none,2.0,,,,,,,1.0,none,,good
,,critical/other existing credit,radio/tv,,,1<=X<4,2.0,female div/dep/mar,none,1.0,car,25.0,,own,2.0,,1.0,none,yes,good
,18.0,existing paid,radio/tv,1126.0,no known savings,,4.0,,,2.0,real estate,21.0,,,,,1.0,yes,,good
0<=X<200,,critical/other existing credit,furniture/equipment,,,,4.0,,,4.0,life insurance,40.0,stores,,,,,,,good
0<=X<200,15.0,critical/other existing credit,business,2326.0,500<=X<1000,1<=X<4,2.0,,none,,car,,,,,,,none,,good
no checking,9.0,,,1449.0,<100,4<=X<7,,female div/dep/mar,none,,car,27.0,none,own,2.0,skilled,,none,,good
,,existing paid,new car,,<100,,,,,,,,,own,1.0,high qualif/self emp/mgmt,,,yes,good
,12.0,,furniture/equipment,,>=1000,,,female div/dep/mar,none,,real estate,19.0,,rent,1.0,unskilled resident,1.0,none,yes,good
<0,,existing paid,new car,3249.0,,4<=X<7,2.0,male single,,,no known property,,,,,high qualif/self emp/mgmt,2.0,,,good
<0,6.0,critical/other existing credit,radio/tv,1957.0,<100,,,female div/dep/mar,,,car,,,own,,skilled,1.0,,yes,good
,,,,2406.0,,,2.0,male single,none,,car,,none,,,high qualif/self emp/mgmt,1.0,none,yes,good
0<=X<200,39.0,,,11760.0,100<=X<500,,2.0,male single,none,,no known property,32.0,none,,1.0,,1.0,,,good
<0,12.0,,furniture/equipment,2578.0,<100,unemployed,,,none,,,,none,,,,1.0,none,,good
,,critical/other existing credit,furniture/equipment,2348.0,<100,1<=X<4,3.0,male mar/wid,,2.0,life insurance,46.0,none,own,,skilled,,,yes,good
0<=X<200,,existing paid,,,,,1.0,male div/sep,,,,,none,rent,2.0,skilled,,,yes,bad
no checking,24.0,critical/other existing credit,radio/tv,,>=1000,1<=X<4,4.0,female div/dep/mar,,1.0,,43.0,none,own,2.0,,1.0,,yes,good
,18.0,existing paid,,1473.0,<100,<1,3.0,male mar/wid,,4.0,,,,own,1.0,,1.0,,yes,good
0<=X<200,18.0,,business,,no known savings,1<=X<4,4.0,male mar/wid,none,4.0,,,bank,,2.0,,,,yes,good
,24.0,delayed previously,business,,<100,,,,none,,car,27.0,bank,,2.0,skilled,,yes,yes,bad
no checking,,,new car,802.0,<100,1<=X<4,,male single,none,2.0,car,27.0,none,,2.0,,1.0,,yes,good
,18.0,,new car,,,>=7,4.0,male single,none,4.0,car,43.0,none,,1.0,skilled,2.0,none,,good
,24.0,,radio/tv,2039.0,,<1,,male mar/wid,none,1.0,,22.0,none,,,skilled,1.0,yes,,bad
,,critical/other existing credit,,2197.0,,,4.0,,none,4.0,,,none,own,,skilled,2.0,,yes,good
<0,15.0,existing paid,radio/tv,1053.0,<100,<1,,,,,,27.0,none,,,skilled,,,no,good
no checking,24.0,,radio/tv,,,>=7,,male div/sep,none,2.0,car,26.0,none,own,1.0,,1.0,,,good
>=200,12.0,critical/other existing credit,,939.0,500<=X<1000,4<=X<7,,male mar/wid,,2.0,,28.0,,own,,,,yes,,bad
0<=X<200,24.0,existing paid,radio/tv,1967.0,<100,,,female div/dep/mar,none,,car,,,own,1.0,,1.0,,,good
,,,,,<100,4<=X<7,3.0,male single,none,2.0,car,,,own,,,1.0,,yes,good
no checking,12.0,,business,,,unemployed,4.0,male single,,2.0,car,,stores,own,2.0,,1.0,yes,,bad
no checking,,existing paid,new car,1597.0,500<=X<1000,1<=X<4,3.0,male single,none,2.0,,40.0,none,,,unskilled resident,2.0,none,no,good
,24.0,,new car,,no known savings,1<=X<4,,,,,life insurance,,,own,1.0,skilled,,none,,bad
,36.0,,,,,,,,,,life insurance,35.0,,,2.0,skilled,2.0,yes,yes,good
<0,12.0,existing paid,new car,,<100,<1,,male single,none,1.0,,,,,1.0,unskilled resident,2.0,,yes,bad
<0,,delayed previously,,,no known savings,1<=X<4,1.0,,,2.0,car,23.0,none,,2.0,skilled,,,,good
no checking,21.0,,new car,,500<=X<1000,4<=X<7,1.0,female div/dep/mar,none,2.0,car,,,,1.0,,1.0,,yes,good
0<=X<200,,,new car,1042.0,,1<=X<4,4.0,female div/dep/mar,none,,,33.0,,,1.0,skilled,,none,yes,bad
no checking,15.0,,new car,3186.0,,,2.0,,,3.0,,20.0,none,rent,1.0,,1.0,,yes,good
,12.0,existing paid,used car,,,1<=X<4,4.0,,,,car,30.0,none,own,,skilled,,,,good
,,critical/other existing credit,,958.0,<100,4<=X<7,,male single,none,3.0,,47.0,none,own,2.0,,2.0,,,good
no checking,,delayed previously,furniture/equipment,1591.0,,4<=X<7,4.0,male single,,3.0,,34.0,none,,2.0,high qualif/self emp/mgmt,1.0,none,yes,good
0<=X<200,,,,,,>=7,1.0,,,2.0,life insurance,,,own,1.0,,1.0,yes,,bad
0<=X<200,18.0,,used car,2779.0,,1<=X<4,1.0,male mar/wid,none,3.0,car,21.0,none,rent,,skilled,1.0,yes,,good
,,critical/other existing credit,radio/tv,,,>=7,4.0,male single,none,2.0,,29.0,none,own,2.0,,,none,,good
no checking,18.0,critical/other existing credit,radio/tv,,>=1000,1<=X<4,4.0,male single,none,3.0,real estate,,none,own,2.0,,,,yes,good
no checking,9.0,,,1313.0,,>=7,1.0,,none,,,,none,,,,,none,yes,good
<0,18.0,critical/other existing credit,,1190.0,,unemployed,2.0,female div/dep/mar,,,,,none,for free,,,2.0,,yes,bad
,5.0,existing paid,,3448.0,,4<=X<7,1.0,male single,none,4.0,,,none,own,1.0,unskilled resident,,none,yes,good
0<=X<200,,,,,,,2.0,male single,co applicant,,,,bank,own,,high qualif/self emp/mgmt,1.0,yes,yes,bad
,,critical/other existing credit,furniture/equipment,1872.0,,,4.0,male single,,4.0,no known property,36.0,none,for free,3.0,high qualif/self emp/mgmt,1.0,,yes,good
no checking,,critical/other existing credit,,2058.0,,1<=X<4,4.0,male div/sep,none,,,33.0,none,own,2.0,skilled,1.0,,yes,good
,,existing paid,,2136.0,<100,1<=X<4,,male single,none,,real estate,,none,,1.0,skilled,1.0,none,,good
,,,radio/tv,,,1<=X<4,2.0,male mar/wid,none,1.0,real estate,,none,own,1.0,skilled,,,yes,bad
,6.0,existing paid,,,500<=X<1000,4<=X<7,,male mar/wid,none,4.0,real estate,,none,rent,1.0,,1.0,,,good
no checking,24.0,critical/other existing credit,,1287.0,,>=7,,,,4.0,real estate,,none,own,2.0,,,,yes,good
<0,,,repairs,3394.0,<100,unemployed,4.0,male single,,4.0,car,65.0,none,own,2.0,unemp/unskilled non res,,none,yes,good
>=200,12.0,all paid,,609.0,<100,,,female div/dep/mar,none,1.0,,26.0,none,own,,,1.0,,,bad
,12.0,existing paid,,,<100,>=7,4.0,male single,none,4.0,,39.0,,,,high qualif/self emp/mgmt,1.0,,yes,good
,,,furniture/equipment,1620.0,,1<=X<4,,,co applicant,,life insurance,30.0,none,own,1.0,skilled,1.0,none,,good
0<=X<200,,delayed previously,,,,,,,none,3.0,car,,bank,own,2.0,skilled,,yes,yes,good
no checking,12.0,existing paid,education,,,>=7,4.0,male single,,4.0,car,41.0,bank,own,1.0,unskilled resident,2.0,none,,bad
0<=X<200,48.0,critical/other existing credit,furniture/equipment,5096.0,,1<=X<4,2.0,,none,,car,30.0,none,own,1.0,,,,yes,bad
no checking,,critical/other existing credit,education,1244.0,no known savings,,4.0,female div/dep/mar,,,life insurance,,,rent,2.0,unskilled resident,,none,,good
,36.0,existing paid,new car,1842.0,,<1,4.0,,,,car,,,own,1.0,skilled,,yes,yes,bad
0<=X<200,7.0,existing paid,,2576.0,<100,1<=X<4,2.0,male single,,,,35.0,,own,1.0,,,,,good
,12.0,,furniture/equipment,,no known savings,>=7,3.0,female div/dep/mar,none,4.0,real estate,,none,own,1.0,,,,yes,good
,,,,,>=1000,1<=X<4,3.0,male mar/wid,none,,life insurance,61.0,stores,,2.0,skilled,1.0,none,yes,bad
no checking,36.0,critical/other existing credit,,11054.0,,,4.0,,none,,car,,none,,,,1.0,yes,yes,good
no checking,6.0,existing paid,,518.0,,1<=X<4,,,,1.0,real estate,29.0,none,own,,,1.0,,yes,good
,12.0,no credits/all paid,furniture/equipment,,,>=7,2.0,male single,,,life insurance,34.0,none,own,,skilled,1.0,none,yes,good
,,existing paid,used car,2670.0,,>=7,,male single,none,,car,35.0,none,own,,high qualif/self emp/mgmt,,yes,yes,good
<0,24.0,,new car,4817.0,,4<=X<7,2.0,,co applicant,3.0,life insurance,31.0,none,,,skilled,1.0,,yes,bad
,,,used car,2679.0,<100,,4.0,female div/dep/mar,,,no known property,,,,1.0,high qualif/self emp/mgmt,1.0,yes,,good
<0,11.0,critical/other existing credit,new car,,<100,,,male single,,,,,,rent,2.0,skilled,,,,good
<0,12.0,,,3386.0,<100,>=7,3.0,male single,,4.0,no known property,35.0,none,for free,,,,,yes,bad
<0,,existing paid,domestic appliance,343.0,,,4.0,female div/dep/mar,none,1.0,real estate,27.0,,,1.0,skilled,,none,yes,good
,18.0,,radio/tv,,<100,,3.0,,none,,car,32.0,none,,,skilled,1.0,,,good
,36.0,,,3620.0,<100,1<=X<4,1.0,,,2.0,,37.0,,,1.0,,2.0,none,,good
<0,,existing paid,,1721.0,,,,,,3.0,real estate,36.0,,own,1.0,,1.0,,yes,good
0<=X<200,12.0,existing paid,furniture/equipment,,,<1,3.0,female div/dep/mar,none,,,,none,rent,1.0,high qualif/self emp/mgmt,1.0,,yes,good
,12.0,existing paid,retraining,,,>=7,4.0,male single,,4.0,life insurance,38.0,none,,,skilled,,none,yes,good
no checking,18.0,,business,1950.0,,,4.0,male single,none,1.0,car,,stores,,2.0,,,,,good
